album,singer,song,lyric,written_by,genre
,Attack Attack!, The Wretched,"There's somebody else inside my head,He's telling me to give up,He's telling me to give up,I'm being taken down from the inside out,I think I'm gonna die here,I need you now, when nothing's making sense,This time it's not my perspective,There's something wrong with me,I can't seem to agree,I've faced the facts you hate,My life, my life will never be the same,There's no time to make a change,I'm hopeless, I'm broken,I'm painted gross and bleeding,Oh God, where are you now?,I need you now, when nothing's making sense,This time it's not my perspective,There's something wrong with me,I can't seem to agree,And I know it's just what you're thinking,There's something wrong with me,I can't seem to agree,I've put it all on the line for you,I've put my life on the line for you,I've put it all on the line for you,I've put my life on the line for you,I've put my life on the line for you,So why did you say goodbye to me?,This time it's not my perspective,There's something wrong with me,I can't seem to agree,And I know is this what you're thinking,There's something wrong with me,I can't seem to agree,I can't seem to agree
,
,
",,
,Attack Attack!, The Family,"This ignorance I have is not enough to bleed me dry forever,Cause slowly, but surely,I'm finding out the truth,You've been doing all you can to hold me down,I'm standing strong,With all of my friends at my side,This is all that I have to hold on to,But it's enough to get me through this,This arrogance won't be enough,To fuel your plans to conquer us,We have the strength to take you down,I've never believed you,We never trusted anything you said,You've been doing all you can to hold me down,I'm standing strong,With all of my friends at my side,This is all that I have to hold on to,But it's enough to get me through this,You can cut the tongue from my mouth so I'll never speak again,Do what you want to stop me,I'm never gonna back down from you!,I've got you right where I want you,We've got you right where we want you
,
,
",,
,Attack Attack!, The Motivation,"I've given all that I have to give,Taking all of the lives that I can,Will this be my last?,(There's no end in sight),When will all of my brothers know—,I'll fight this war alone,If that's what it takes to get home to you,I'll fight this war alone,I've lost control again and the night is closing in,How do I keep my feet on the floor when I'm in over my head?,How can I fight a war?,Cause I have you... to come home to,Take a step back and finally think for yourself,You're living a life full of lying,I'm over this process of letting my life be run by your desire,I'll fight this war alone,If that's what it takes to get home to you,I'll fight this war alone,I've lost control again and the night is closing in,I've gotta be whole within, so my life is mine again,How do I keep my feet on the floor when I'm in over my head?,How can I fight a war?,Cause I have you... to come home to,Cause I have you... to come home to,Cause I have you... to come home to,I'm never gonna give up hope!,I'm never gonna give up hope!,I'm never gonna give up hope!,I'll never give up until I'm dead!,And if you wan't me to, you'll have to take my life,I'll fight this war alone,I'll fight this war alone,I'll fight this war alone,I'll fight this war alone
,
,
",,
,Attack Attack!, Fumbles O'Brian,"Attack Attack! We back again baby,,Haha, fresh out that jankety baby,,Hey yo man, it's that new joint baby!,There is only one thing that can fill my chest,,Oh my love, you need to just keep breathing, let your heart beat slowly.,Oh my love, I was never meant to fill your cup,And oh, I cant fulfill you forever,'Cause I'm not your knight in shining armor,Or the one that you might call for everything,There is only one thing that can still my fear,, ,Shawty, youre on my mind (Yeah),Shawty, all of the time. (Yeah),Shawty, youre on my mind (Yeah),Shawty, all of the time. (Yeah),Ohhh yeah.,Oh my love, I was never meant to fill your cup,And oh, I can't fulfill you forever,'Cause I'm not your knight in shining armor ,Or the one that you might call for everything
,
,
",,
,Attack Attack!, The Betrayal,"Get up!,How can you say you never knew me?,I put my life on the line to keep this family alive,Hour after hour, day after day,Where's the meaning?,Where's the passion?,Where's the passion?,Don't try to say you've forgotten about me,I know the thought of us is creeping in your mind,You drove me crazy,Now there's no ""maybe"",So grab your guns and pick a side,Cause this means war,I'm going to turn around and walk right out the door,And in your mind, you've never seen my face before,Somehow they've made you believe,Believe in the lie,Don't let them take me away,Don't let them take me away,Don't let them take me away,Oh God, don't let them take me,Don't try to say you've forgotten about me,I know the thought of us is creeping in your mind,You drove me crazy,Now there's no ""maybe"",So grab your guns and pick a side,After all that they put me through,I just want to come back to you,After all that they put me through,Just remember me!,Remember me,Come on!
,
,
",,
,Attack Attack!, The Revolution,"Start the revolution,Start the revolution,Start the revolution,Start the revolution,For the first time,I understand what it means to have taken a life,I don't think I can handle this,I feel my sanity slipping away,All is lost,Everything's been taken away from me,All is lost,Everything that I've known is gone,Can you hear the voices in your head?,Listen to what they're saying,There's no more time to be wasted,Cause I've wasted all my life,Giving in to sin, when I had a mind,There's the blood of another man on my hands,Why do I feel so comfortable?,What's happening to me?,All is lost,Everything's been taken away from me,All is lost,Everything that I love is gone,Can you hear the voices in your head?,Listen to what they're saying,I can hear the voices in my head,Listen to what they're saying,There's no more time to be wasted,Cause I've wasted all my life,Giving in to sin, when I had a mind,There's no more time to be wasted,Cause I've wasted all my life,Giving in to sin, when I had a mind,You've never been where I've been,You've never seen what I've seen,You've never had to spend a day with the cage around your mind,Just set me free,(Set me free),Start the revolution,Start the revolution,Start the revolution,Start the revolution
,
,
",,
,Attack Attack!, The Hopeless,"Life alone is not worth living anymore,There's no purpose in my actions,There's a hole so deep inside of me,This isn't how I planned it,I still don't understand it,Why is everything falling apart?,Everything seems so far out of my reach,And I can't get a grip on reality,There's no ground to stand on,There's no earth beneath my feet,I don't feel like I can go another day,Living it out this way,Can you hear me screaming?,I've been yelling so much that my throat is bleeding,I'm giving up on everything,I've given up on everything,Everything seems so far out of my reach,And I can't get a grip on reality,There's no ground to stand on,There's no earth beneath my feet,I don't feel like I can go another day,Living it out this way,I just need another chance,I need to get back on my feet,I need to fight back,But I have nothing left!,There's no ground to stand on,There's no earth beneath my feet,I don't feel like I can go another day,Living it out this way
,
,
",,
,Attack Attack!, Smokahontas,"Show me the way (,) ,Allow me to see cause my heart is broken (,),Be my escape (,) ,Allow me to hear with a word unspoken (,),Oh I am separated from the one I was made to love, ,Show me the way (,) ,Allow me to see cause my heart is broken (,),Be my escape (,) ,Allow me to hear with a word unspoken (,),Oh let me feel this love again (Let me feel this love again),Oh I am separated from the one I was made to love,El viejo establece pollos en el este!,What is this life void of love,It’s not a life at all,What is this life void of love,Can you feel your heart as it hits the ground,Can you feel your heart as it hits the ground,
,
,
",,
,Attack Attack!, Turbo Swag,"And now I've got to find a simple escape,All I need, all I need is a simple escape,Can't you see my mind as it struggles to be sane,An escape from everything, oh,It finally changes on the inside, oh,And now I've got to find a simple escape,All I need, all I need is a simple escape,Can't you see my mind as it struggles to be sane,An escape from everything, oh,It finally changes on the inside, oh,Don't hold your breath for the things that you seek,It will all burn to the ground with everything,We're all looking for our freedom,From the things we want to run from.,All I need, all I need is a simple escape,Can't you see my mind as it struggles to be sane,An escape from everything, oh,It finally changes on the inside, oh,
,
,
",,
,Attack Attack!," I Swear, I'll Change","Seeing everyone's true face,Makes me wish they would keep their masks on,Cause I don't wanna know, who you really are,I thought you would have learned your lesson by now,True face exposed, dark motives in the mind,Was listening too scary for you?,You haven't changed, you never will (you never will),You and I will never be the same,,You say you try, but you never change,You can hide, and say you're not to blame,I thought you have learned your lesson by now,I never knew that lying came so natural to you,Cause I can't bear to see, the man you're gonna be,I thought you would have learned your lesson by now,You and I will never be the same,,You say you try, but you never change,You can hide, and say you're not to blame,I thought you have learned your lesson by now,You and I will never be the same,,You say you try, but you never change,You can hide, and say you're not to blame,I thought you have learned your lesson by now
,
,
",,
,Attack Attack!, Poison Sumac Body Wrap,"Broken poison,Why be like this?,Say...,Say too much,What has become of my conscience?,Why do I do this and turn away?,Why do I do this and turn away?,I bleed and so do you,,Of my blood,So of the blood,You are the blood,Blood of the falling,You'll be the one,I bleed on you,The blood,Can I ask what it is? ,(Let me live),But that's not too many chains...,(Two that makes me),When we fall apart,(Fall apart),That's when I care,That's when I care about you,(About you),Why cant I go away?,Why cant I go away?,Take my hand,(My hand),When you're broken,When you're broken,Oh, you're broken,Now you're broken,What has become of my conscience?,Why do I do this and turn away?,Why do I do this and turn away?
,
,
",,
,Attack Attack!, A For Andrew,"I've put so many things above you,,I don't know who I am anymore.,I've put so many things above you,,I don't know who I am anymore,,I've put so many things above you,,I don't know who I am anymore,
,
,
",,
,Attack Attack!, Shut Your Mouth,"I don't give a.,Welcome to my party as I'm lettin' you in raise my hand,to the dj let the music begin McSwagger is the type man,to hold the world in his hand my name will be,on all your lips and typed by ,all your fingertips baby don't keep coming up to me I hope,you know you lack originality I don't drop my pants,that easily so baby, just get away from me, ,I don't wanna have to make you cry, ,I don't wanna leave with you tonight.,I don't give a.,Shut your mouth baby girl you're nothing new,I hate everything you do try to get away from you,I cant breathe when you're always close to me so go whoa.,Whoa.,It don't mean I'm from your future if I'm not,part of your past the feeling that you got,,you'll sober up and it wont last.,Swag-dad can see that your use to moving fast,but now I'm VIP I'm the lead in every cast baby,,I don't wanna talk to you all the thing that you're,doing ain't nothing new I can tell just what you want,to do so just get away from me,,I don't wanna have to make you cry,,I don't wanna leave with you tonight.,Mcswagger in your car,Mcswagger in your stereo,Mcswagger part oif every single bump and grind scenario,Mcswagger in your ear,Mcswagger in your head,Mcswagger is a super star that you dream of in your bed.,I don't give a.,Shut your mouth baby girl, you're nothing new, ,I hate everything you do,Try to get away from you I cant breathe when you're,always close to me so go whoa.,Whoa.
,
,
",,
,Attack Attack!," Renob, Nevada","Go ….,Your words are just as simple as the next,You know my heart meant no disrespect,It seems that there is nothing left,No honor, no respect,Your mind is just as confused as the next,Keep your opinion to yourself,Go take your opinion with you,Cause I dont want to hear it,Go take your decisions with you,Cause I dont need to hear them,Your voice is clawing at my ears all day,Leaving me restless and plaguing my mind,Your lies are clouding up my thoughts everyday,Seeing your motives realizing its jealousy,No honor, no respect,No honor, no respect,Your voice is clawing at my ears all day leaving me restless and plaguing my mind your lies are clouding up my thoughts everyday seeing your motives realizing its jealousy,You wear your jealousy on your sleeve,Why so much hate?,I cant pull myself away,People like you just waste my time,Keep your opinions to yourself,Go take your opinion with you,Cause I dont want to hear it,Go take your decision with you,Cause I dont need to hear them,Go….
,
,
",,
,Attack Attack!, Party Foul,"You lied,To me,You Tried,To be,Everything I would want,But everything you couldn't be,The two worlds that you have made,,Has suddenly collided,,So you'll have the chance to lead,,A new life...,Everything that I would want,,Everything you couldn't be.,This is your cop-out to your life,,I'll be the end of everything you love,,It rips my heart out and I cant take anymore,,Heart out, I'm lying on the floor.,I can't,I can't believe this,I can't,I can't believe this,i cant believe this has happened,,i cant believe this is happening,,i cant believe this is happening,,i cant believe that this is happening to me,,i thought that you would be, everything i need.,The two worlds that you have made,,have suddenly collided,,so save yourself and make a lie,,i wouldn't be believing.,You want me back,,now that im on,,my own, again.
,
,
",,
,Attack Attack!, Sexual Man Chocolate,"Go ahead and bury me deep down inside,Change that longing in your heart,Hold that thought just for a moment,Let your heart feel numb,Now I see that this is what you mean,When you said you'd be my everything,Now I see this is what you mean,When you said you'd be my everything x2,Now I see that this is what you mean,When you'd said you'd be my everything,
,
,
",,
,"Attack Attack!,Jason Cameron", Lonely,"My heart doesn't pull me the same,oh all my carelessness is gone,And ya know my mind doesn't owe me the same,But girl my struggle goes on and on,My soul wants to pull me away,But all this hopelessness has won,And all these dreams wanna take me away,But this feeling just makes me stay,Apathy has its hold on me,Apathy has its hold on me,Lonely, I feel so lonely,Girl hold me, won't you just hold me,Lonely, I feel so lonely,Girl hold me, won't you just hold me,It has taken me seven days,to realize that my time has come,And I never knew that I was gonna be the one to blame,Why is this taking me so long?,Girl, you know I don't want to be alone,(you know I'll never find another like you),So girl, you know I don't want to be alone,(you know I'll never love another like you),Apathy has its hold on me,Apathy has its hold on me,Lonely, I feel so lonely,Girl hold me, won't you just hold me,Lonely, I feel so lonely,Girl hold me, won't you just hold me,Lonely, I feel so lonely,Hold me, won't you just hold me,All these signs try and pull me down,(my soul will go on),All these signs try and pull me down,(my soul will go on),Lonely, I feel so lonely,Girl hold me, won't you just hold me,Lonely, I feel so lonely,Girl hold me, won't you just hold me
,
,
",,
,Attack Attack!, The Abduction,"So now my son is in the hands of a murderer,If you think you'll ever get away with this,You have another thing coming,I'll do all that it takes to get to you,This is my flesh and blood,My one and only son,Now losing's not an option,It looks like fighting for you,Is what I'm called to do,I'm running a race against the clock,Every moment that passes by could be a moment too late,I don't know where to start, but I know where it will end,With you back in my arms!,And when I find you I'm going to teach you what the meaning of pain is!,I won't stop until it's over!,I'll do all that it takes to get to you,This is my flesh and blood,My one and only son,Now losing's not an option,It looks like fighting for you,Is what I'm called to do,I don't care what you say,I don't care where you hide,I am going to find you,And I'm going to help you realize that you've made a big mistake!,I will find my son— so give it up!,So... give it up!
,
,
",,
,Attack Attack!, The Reality,"I'm so fed up with living inside this prison,My life's controlled by another's conviction,I need a new reality,I need to find stability,(There must be some way out),This is not the last time I'll say it,(I think I'm losing my mind and there's no changing this),It's not going to stop until I'm dead,(It doesn't stop until I'm dead!),There's not enough room in here for the two of us,I say right (you say wrong),I say love (you say hate it all),So who do I believe?,(Why is there no way out?),This is not the last time I'll say it,(I think I'm losing my mind and there's no changing this),It's not going to stop until I'm dead,(It doesn't stop until I'm dead!),I've gotta find a way to live like this,(I think I'm losing my mind and there's no changing this),It's not going to stop until I'm dead,(It doesn't stop until I'm dead!),I've been trying so hard for so long...,I need a new reality,There must be some way out of this mess,I need a new reality,But there's no way out,This is not the last time I'll say it,(I think I'm losing my mind and there's no changing this),It's not going to stop until I'm dead,(It doesn't stop until I'm dead!),I've gotta find a way to live like this
,
,
",,
,Attack Attack!, Outro," ,
,
,
",,
,Attack Attack!, The People's Elbow,"Oh the Blood, Oh the Blood, Of the Massacre,Your love will run and hide,And leave me on my own,The true ones will fall,So hard baby,And that's why this hurts,I always thought that you would be the one,But baby now just give me a chance,I always thought that you would be the one,But baby just give me a chance,This is the last chance you get what you want,,And I'll never be the one to turn on you,,And I get what I want, and I said,,I'll do anything, anything for you,I've torn apart this possiblity,From one night stands,You give it away for just one night,I give you all I had,I always thought that you would be the one,,but baby now just give me a chance,I always thought that you would be the one,,but baby just give me a chance,Oh the blood, oh the blood, of the massacre
,
,
",,
,Attack Attack!, Catfish Soup,"Again and again sing this that we live,,it's all we have to go off of.,This is a nightmare come to life,,this is something you'll regret at times.,When you see there's an end tonight.,Just think about this now,,as we come to an end.,The decisions you have,,made will come back to haunt you,,and as the story ends and,you look to the sky,,this couldn't have happened by chance.,And Here's your escape as,He Calls out your name,,you fall to your knees,and answer his call.,But Here's your escape,,He calls out your name, you fall to your knees,,and answer His call.,Lord I will be anything for you.,Hallelujah,Hallelujah, saved by grace. x2,Hallelujah, I've been saved by grace,,Hallelujah, saved by grace.,and this is why, I've been saved,,by His grace.,Just think about this now,,as we come to an end.,The decisions you have,,made will come back to haunt you,,and as the story ends and,you look to the sky,,this couldn't have happened by chance.
,
,
",,
