album,singer,song,lyric,written_by,genre
,Electric Six, Slices Of You,"I'm late for dinner but look who's on the menu,'Cause when I'm in a hurry nothing tastes as good as you do,Whisper in my ear all your culinary wishes,Next thing you know you're washing the dishes,Your table is ready, follow me,I'm happy to seat you,Slices of you,I'd really like another slice of you,That's so nice of you,I'd really like another slice of you,That's so nice of you,I'd really like another slice or two,I'd really like another slice of you,I'm late for dinner but look who's on the menu,'Cause when I get a table you know damn well I get a table for two,Preheat the oven so to cook in your pants,I trained at the very best kitchens in France,My service is slow and I hope this doesn't offend you,Slices of you,I'd really like another slice of you,That's so nice of you,I'd really like another slice of you,That's so nice of you,I'd really like another slice or two,I'd really like another slice of you,And everywhere I go, people ask me,My answer's always the same,Cook the hell out of it and slice it,If music be the food of love, play on,But I'm really too hungry for just one song,And so I pose a final plea to you,I'd really like another slice of you,That's so nice of you ,I'd really like another slice of you,I'd really like another slice of you,I'm late for dinner but look who's on the menu,'Cause when I'm in a hurry nothing tastes as good as you do,I'm late for dinner but look who's on the menu,'Cause when I'm in a hurry nothing tastes as good as you do,I'm late for dinner but look who's on the menu
,
,
",,
,"The Bangles,Nazz", Open My Eyes,"Underneath your gaze I was found in,The haze I'm wandering around in,I am lost in the dark of my own room,And I can't see a thing but the fire in your eyes,Clear my eyes, make me wise,Or is all I believe in lies,I really don't know when or where to go,And I can't see a thing 'til you open my eyes,I've been told by some you'll forget me,The thought doesn't upset me,I am blind to whatever they're saying,And all I can see is the fire in your eyes,Can't believe that it's on your mind,To leave me behind...
,
,
",,
,Berman, The End Of Me,"Turn and lock the room ,never be found again ,a voice like a stranger ,and all out of anger ,and i know you feel it too ,pass away the old ,lay to rest my friend ,pass away the old ,this will be the end ,this will be the end of me ,i will start again ,i will start again with you ,this is where it ends ,a shadow's all thats left ,its always been stronger ,its always been longer ,and i know you feel it too ,pass away the old ,lay to rest my friend ,pass away the old ,this will be the end ,this will be the end of me ,i will start again ,i will start again with you ,this will be the end ,this will be the end of me ,i will start again ,i will start again with you ,this will be the end ,this will be the end of me ,i will start again ,i will start again with you
,
,
",,
,Berman, Everything,"So-long to good old yesterday ,it's been real but time will not stand still ,so-long to good old apathy ,it's been real but now you see that all this is dead ,you'll see ,its everything... you'll never be ,you'll see ,its everything... you'll never be ,this time ,it's you it's me it's everything you'll never be ,this time ,it's you it's me it's everything you'll never be ,so-long to all these little games ,it's been fun but look at what it cost ,sit back and find another way ,to live life like it's not only hiding from shame
,
,
",,
,Berman, In Hands,"Look at her another way ,shes seen too many rainy days ,everyone has gone away ,but still she stands ,burn your flag of mockery ,why is it so hard to see ,everyone was meant to be ,more than me ,and its all within her reach ,and still she stands ,its all within her reach ,the world is at her hands ,look at him another way ,youll never know the price he paid ,breathe a breathe and life will fade ,and still he stands ,put it off another day ,it will never fade away ,the sun will set another day ,but still he stands ,itll all within his reach ,he world is in his plans ,its all within his reach ,the world is in his hands ,if we can make it through ,we will feel it forever ,stand up together ,if we can make it through ,we will feel it forever ,stand up together ,if we can make it through ,we will feel it forever ,stand up together ,if we can make it through ,we will feel it forever ,stand up together
,
,
",,
,"Elvis Costello,The Roots", Wise Up Ghost,"Last lions roar before they're tamed,I stood out in the glorious reign,Knowing full well I can't go home again,Wise Up Ghost,Wise Up,When are you going to rise up?,Wise Up Ghost,Yield some sighs up,Wise Up Ghost,Go on your merry way now if you must,Fool's gold turns rivets into rust,Till you don't know who to trust,Wise Up Ghost,Wise Up,When are you going to rise up?,Wise Up Ghost ,Yield some sighs up ,Wise Up Ghost ,Old woman living in a cardboard shoe,Lost so many souls, she don't know what to do,So say your prayers 'cause down the stairs, it's 1932,Wise Up Ghost,She revolves around a sparkling pole,Stares into the mirrored wall,Sees another woman walking through a market stall,Wise Up Ghost,Wise Up,When are you going to rise up?,Wise Up Ghost ,Yield some sighs up ,Wise Up Ghost ,Lost girl found on the radio,Down around Larado,Go direct to hell you murdering so-and-so,Wise Up Ghost,Trapped within a house of feathers,Sitting in a shirt of wire,Howling at a wall of flowers,Saying ""Wise Up Ghost"",Wise Up,When are you going to rise up?,Wise Up Ghost ,Yield some sighs up ,Wise Up Ghost ,I walked along an iron pier,Where Rose's kisses turned to tears,Saltwater rushing over the pebbles under there,Wise Up Ghost,Last sigh of passion,Slipped into the room like an assassin,Glad tidings we bring for you and your King,Wise Up Ghost,Wise Up,When are you going to rise up?,Wise Up Ghost ,Yield some sighs up ,Wise Up Ghost ,Last lions roar before they're tamed,I stood out in the glorious reign,Knowing full well I can't go home again,Wise Up Ghost,Wise Up,When are you going to rise up?,Wise Up Ghost,Yield some sighs up,Wise Up Ghost,Wise Up Ghost ,Wise Up Ghost ,Wise Up Ghost ,Wise Up Ghost ,Wise Up Ghost ,Wise Up Ghost ,Wise Up Ghost ,Wise Up Ghost ,Wise Up Ghost ,
,
,
",,
,"Elvis Costello,The Roots", Cinco Minutos Con Vos,"I stood at the curb trying not to disturb,The dark carnival crew and a glittering voice,Far off there said, ""Rejoice,,As the casualties are but few."",Going to tell you now,Before I forget myself,I could let you loose,But the key won't undo the lock,And the face of the clock,Seemed to merrily mock,These five minutes with you,Mi padre sabía,Y me lo susurro,Vete a Montevideo y espérame ahí,Por dónde empezar?,Escuchando siempre están,Por cinco minutos o mas,Si te atreves,La sirenas lamentan,La plaga que encuentran,Las balas caen,Y te harán desaparecer,El faro oscurece hay poca esperanza,Cinco minutos con vos,[English Version:],My father would know,So he whispered it low,""Go to Montevideo and wait for me there"",How can I begin?,They're always listening in,For five minutes or more if you dare,Now the sirens wail,There is a fever in the winding sheets,And the bullets hail,And they pull you right off the streets,Our chances are slim but the searchlights will dim in five minutes for you,The propeller was droning, I woke up alone,They opened the door and they threw me through,And down I went down, like the twist of a screw,Down into the silver, above me the blue,And you stood there waiting but you never knew,Five minutes with you,They can scatter the earth and find nothing of worth,Wipe out those years of triangular tears,The colours will fly,And the wild wind will cry,I'm strapped to that mast,Knowing they wouldn't last for,Five minutes with you,Cinco minutos con vos,Cinco minutos con vos,Cinco minutos con vos,Cinco minutos con vos
,
,
",,
,"Elvis Costello,The Roots", (She Might Be a) Grenade,"She's pulling out the pin,That lets her hair fall down,She's pulling out the pin,She shakes her head and it goes tumbling,Her smile was out of place,So she swept it off her face,Let me find the words and say them,Like some softly whispered ""Amen"",But she starts to pull away,And the lights begin to dim,Is she thinking of me?,Or is she thinking of him?,She's pulling out the pin,She's slipping off the hook,Unbuttoning her dress,She's slipping off the hook,There's just enough to make some man a mess,She tears away the veil,With her fingernails,She came out high and kicking,While the band played ,Do you hear something ticking?,Did somebody tell her she could really be redeemed?,And could she actually be as desperate as she seems?,She's tearing at the seams, she's going to extremes,Nobody told her it was a sin, so she's pulling out the pin,She's taping up her hands,Just like a boxer will,And they started laughing,But if looks could kill,She'd take them down right now ,She's covering her mouth ,With some unholy vow ,There's nothing more to say,This is her wedding day,Full of shattered glass and mayhem,Not some softly whispered ""Amen"",While the shock announcement dawns,And the smoke begins to thin,Where the world without ends,And the next one begins,She's pulling out the pin,She's pulling out the pin,She's pulling out the pin,She's pulling out the pin,She's pulling out the pin
,
,
",,
,"Elvis Costello,The Roots", If I Could Believe,"If I could believe,Two and two is five,Two wrongs make a right,Well then, man alive,Lost in my insolence and sneers,That might sound like prayers,If I could believe,If I could believe,You were from heaven sent,Then just losing you,Would be my punishment,But in the hour of disgrace,I might see his face,If I could believe,If I could believe then I know I might,Sleep all through the night,But how many times must I wake in fright,Nagging doubts still tugging on my sleeve,If I could believe,Two and two is five,Two wrongs make a right,Well then, man alive,Lost in my insolence and sneers,That might sound like prayers,If I could believe,If I could believe
,
,
",,
,Berman, All The World,"I've been working at these knots for a long time ,Trying to find what I'm tied to the tightest ,Fist full of confidence ,Fistful of of all my possessions and what could be ,Moving on my way ,Moving on my way ,And all the world seems to move with me ,I've been keeping my head just to please you ,Holding my breath 'til the light hits my face ,Head full of promises ,Heart falling short of a love for what will be ,Moving on my way (Don't forget why you came) ,Moving on my way ,And all the world seems to move with me ,And all the world seems to move with me ,I'm not worth dying for ,Over something out of nothing ,So throw me overboard ,And i'll meet you on the shore ,And all the world seems to move with me ,And all the world seems to move with me
,
,
",,
,Mastedon, That's What You Do,"That's what you do when you love someone,Pick up my dagger,And put it straight through my heart,It's always the same to me,The freedom of poison,I had it straight from the start,I thought it was just meant for me,Put out the fire,It makes me go insane,It wont do me good anymore,I should trust in the manner,It's always good for the soul,It's not detrimental to the cause,It's not detrimental to the cause,You always found the time,To get to the heart of the matter,You gave it to me straight,When you knew I was hurting,You threw me out a line,And told me never to give it up,You took me under your wing,And gave me more than I deserve,That's what you do when you love someone,That's what you do,Put me in a lineup,And you can pick out my face,I'm guilty as charged of the crime,The damage is done,And now my sentence is in,I won't have to do any time,And I'll never look back,When I walk out of this place,I'm not that man anymore,The hands are clean now,The blood stains are gone,I'll walk through that open door,I'll walk through that open door,You always found the time,To get to the heart of the matter,You gave it to me straight,When you knew I was hurting,You threw me out a line,And told me never to give it up,You took me under your wing,And gave me more than I deserve,That's what you do when you love someone,That's what you do, oh,That's what you do when you love someone,That's what you do,When you love someone,You threw me out a line,And told me never to give it up,You took me under your wing,And gave me more than I deserve,That's what you do when you love someone,That's what you do, oh,That's what you do when you love someone,That's what you do,When you love someone,When you love someone,That's what you do
,
,
",,
,Mastedon, Lying,"It's all a game, baby,You punish me, I punish you,It's all a game that we play, baby,I think that maybe I lose,Sad what I put you through,When I should come clean with the truth,Maybe there's some way out of here,But I'll do what's right to make things clear,I'm lying,I'm lying just to follow my sin,I'm lying,I'm lying just to cover my sin,I could play a game and make believe I'm humble,I could give in to this demon by my side,Or I should stop believing my own lies and lay it down,And let forgiveness wrap its arms around me,I don't think there's anyway out of here,Only the truth can make it disappear,I'm lying,I'm lying just to follow my sin,I'm lying,I'm lying just to cover my sin,I'm lying,I'm lying just to cover my sin,I'm lying lying again,Why am I lying, I'm lying again,I'm lying, I'm lying again,Maybe I'm wrong but I just can't tell,Maybe I think way too much of myself,There's a time, a place for everything,But the time is just not now,Maybe there's some way out of here,But I'll do what's right to make things clear,I'm lying,I'm lying just to follow my sin,I'm lying,I'm lying just to cover my sin,I'm lying,I'm lying just to cover my sin,I'm lying,I'm lying just to cover my sin,I'm lying lying again,Why am I lying, I'm lying again,I'm lying, I'm lying again
,
,
",,
,"Elvis Costello,The Roots", Viceroy's Row,"Now there's a crank in every crowd sprinkling gunpowder,Seems that everything is about to blow,They lit the burning paper with a waxen taper,Sitting up here on Viceroy's Row,And they're gathering flowers in the crack of hours,Where all of the nightmares go,Watching the pipeline as it overflowed,Sitting pretty here on Viceroy's Row,He made a fortune out of barbed wire,In the last days of the Empire,Built a cast-iron curtain just to keep control,He was a tycoon, then a cheapskate,Went out looking for a keepsake,To tuck into his suitcase on Viceroy's Row,And they're gathering flowers in the crack of hours,Where all of the nightmares go,Watching the pipeline as it overflowed,Sitting pretty here on Viceroy's Row,He had a satchel full of cash and dishes full of ashes,He went from boom to bust in the blinking of a lash,Heard the rat-a-tat of the late patrol,Shooting out the lights up on Viceroy's Row,And they're gathering flowers in the crack of hours,Where all of the nightmares go,They're coming for him slowly, now the war is over,Sitting up here on Viceroy's Row,The woman in a blindfold,She doesn't want her hand held,Walking through a minefield,Saying ,Stepping on the quicksand, going down slow,Hiding up here on Viceroy's Row,Nothing satisfies the ruin of his blue eyes,Like blood stains on a diamond mine,And deep within you felt not one measure of his guilt,Staring in the dark up on Viceroy's Row,Yet her penitent lover took a ribbon of rubber,Tied her to the bed made of silken thread,But without an ounce of mercy,They denounced him with a curse,Hammering on the door upon Viceroy's Row,Now his little concubine in her cemetery drag,Her face all smeared with charcoal,Is leaving all her cares, so,Take 500 acres and see what you can sow,We came to overthrow those on Viceroy's Row,They're gathering flowers in the crack of hours,Where all of the nightmares go,Watching the pipeline as it overflowed,Sitting up here on Viceroy's Row
,
,
",,
,Mastedon, Questions (It's About Time),"Would you man up or walk away,Will you stand up for what you believe in,Would your emotions get the best of you,Will you embrace a lie or the truth,These are the questions we ask ourselves,Would you help your brother in need,Or would you turn your back on him,Do you tolerate someone who is much different from you,Is there middle ground whether black or blue,These are the questions we ask ourselves,Or do we act on our convictions or retreat?,Should we set our sights on short or look beyond?,It's about time, for hostages to be freed,It's about time, to find out we don't have to bleed,It's about time, for questions to be answered,Are we just another face in the crowd,Are we a whisper or do we say it loud,Do we see there is hope when it all seems lost,Do we believe in a bridge that can bring us across,These are the questions we ask ourselves,And we've come way too far to let it slip away,We have to realize that tomorrow is today,It's about time, for hostages to be freed,It's about time, to find out we don't have to bleed,It's about time, for questions to be answered,Oh...,These are the questions we ask ourselves,It's about time, for hostages to be freed,It's about time, to find out we don't have to bleed,It's about time, to release the prisoner in me,It's about time, for questions to be answered
,
,
",,
,Mastedon, Slay Your Demons,"And I keep telling myself,Tear the walls down,Shine your armor,Slay your demons,Walk on water,Inside these prison walls,I'm planning my escape,There's freedom on the outside,Just beyond the gates,And when I get out there,I'll look up at the Son,And I will beg for mercy,For all that I have done,And I keep telling myself,Tear the walls down,Shine your armor,Slay your demons,Walk on water,And what is this frame of mind ,That keeps in the race,We run in the wrong direction,'Cause the truth is hard to face,And why spend a lifetime,Looking down the barrel of a gun,It's a very simple answer,Two of them make one,And I keep telling myself,For everyday that passes,Is a day that's passed you by,Unless you're on the pathway,To the light,And if the mountain,Is to high for you to climb,Just take the hand you'll make it,You will find,Tear the walls down,Shine your armor,Slay your demons,Walk on water,Tear the walls down,Shine your armor,Slay your demons,Walk on water,Tear the walls down,Shine your armor,Slay your demons,Walk on water,Ooh-ooh-ooh-ooh-ooh-ooh...,Ooh-ooh-ooh-ooh-ooh-ooh-ooh...
,
,
",,
,Mastedon, The Western World,"Let's come alive,No waiting in line for your ticket to paradise,A theme park of wonder where kids eat free,Drive-thru worship with no persecution,Mountains and desert land to wide open sea,Get wired on a triple shot of liquid adrenaline,Have a feast on a Sunday and watch the colorful balloons,No more excuses, no reservations,We're home on the range now, let's howl at the moon,We've arrived in the Western world,Where the dreams come alive and the sun keeps shining,But what will we do if the walls fall down,'Cause there's no foundation beneath the ground,Here, here at the Western,Here at the Western world,Here, here at the Western,Here at the Western world,Not calling for rain, I'll take in an afternoon ballgame,There's no worries, ain't feeling no pain,If there's a problem, we'll find a solution,We're numb to the point where abnormal is sane,We've arrived in the Western world,Where the dreams come alive and the sun keeps shining,But what will we do if the walls fall down,'Cause there's no foundation beneath the ground,Hey, hey, quit shouting at me,Hey, hey, quit shouting at me,Hey, hey, quit shouting at me,Hey, hey, quit shouting at me,Hey, hey, quit shouting at me,Hey, hey,Here, here at the Western,Here at the Western world,Here, here at the Western,Here at the Western world,Here, here at the Western,Here at the Western world,Here, here at the Western,Here at the Western world,Oh...,A complacent mind will be damaged all the time,So get what you're doing and put it in line
,
,
",,
,Mastedon, Nowhere Without Your Love,"Bow your head well; leave right now,Leave your restless heart behind,Let the fear of the unknown subside,Let the tears flow from your eyes,The beginning of the journey home,Won't be easy but it's free,So stay on course; don't look behind,It's the dawn of a new day,The dawn of a new day,A wounded dove with a broken wing,Will fly again come May,A child will be born today,An old man will pass away,Please don't wait; don't stay away too long,There's trouble on the horizon,Cause right is wrong and wrong is right,I hope I'm there when you arrive,I hope I'm there when you arrive,But the nature of a man like me,Is to turn away and give in to my desire,I stumble to my feet again,Knowing you're still there,You never left my side,I'm nowhere without your love,I'm so lost without you here,I'm nowhere without your love,Find your way through the narrow gate,Accept this invitation with body soul and mind,You can bow your head well; leave right now,Leave your restless heart behind,Just stay on course; don't look away,It's the dawn of a new day,The dawn of a new day,A new day,But the nature of a man like me,Is to turn away and give in to my desire,I stumble to my feet again,Knowing you're still there,You never left my side,I'm nowhere without your love,I'm so lost without you here,I'm nowhere without your love,I'm nowhere without your love,I'm nowhere without your love,I'm gonna be where you are,I'm nowhere without your love
,
,
",,
,Mat Kearney, Rochester,"I was born in Rochester,To a bookmaking man,Had a fake cigar shop,With the games on in the back,See them coming and going,Let them ride on thoroughbreds,Police chief from Town Hall wondering what was the spread,I carried rich mens bag through the brow,Trying to chase down a little white ball,I learned that any soft place wasn't good for me at all,Daddy came home fired up looking for some sort of release,He beat the hell out of Timmy, Timmy beat the hell out of me,I would hop the fence out to this government field,Run 'til there was nothing more to feel,Lying there watching planes just disappear,Knowing one day I'm gonna fly on out of here,Well that same police chief came knockin' my first freshman day,Put my daddy in handcuffs and his picture on the front page,Took every one of his suits and all my dignity,Walk the halls around the court waiting for any punk to set me free,I would hop the fence out to this government field,Run 'til there was nothing more to feel,Lying there watching planes just disappear,Knowing one day I'm gonna fly on out of here,Well I got that call to Vietnam just like everyone else I knew,So scared of the hand grenades threw them farther than any other troop,Came home like an iron fist and Timmy tried to take my keys,Ripped open his front pocket that was the last time he touched me,Moved to an island out west up to Breckinridge,Met a mermaid on a glass boat and she promised me some kids,Bought a house in Oregon where you could touch both of the walls,Had a son named Benjamin and I was so scared of it all,Benjamin walked in the front room where I was cutting up my hash,Looked into those deep blue eyes wondering why I've been so mad,Flushed a quarter pound down the drain praying for the mercy to confess,Trying to rip the boy from Rochester right of my chest,We're gonna walk right out into this heavenly field,Run like there was no more time to steal,My three boys in the grace of God I feel,Knowing one day you're gonna take me out of here,Knowing one day you're gonna take me out of here
,
,
",,
