album,singer,song,lyric,written_by,genre
,Maria Mena, Not Sober,"It starts with a quiver,,A thought provoked shiver,,A fear I can't deliver.,They don't need me.,They don't need me,The comfort of my home,Now feels like a prison,My thoughts lacking reason,No one loves me.,No one loves me.,I am afraid of the dark,When I am alone with my thoughts.,So here's to avoid falling apart...,I'm not sober, yeah,I'm not sober.,I'm not sober.,I lie cause I'm shameful.,My movement's weak. Eyes dull.,A complete lost of control.,I'm a failure.,I'm a failure.,It's like taking a beating,,Hung from the ceiling.,Your fear is only your feeling,,But it's painful.,Why it's painful?,I am afraid of the dark,When I am alone with my thoughts.,So here's to avoid falling apart...,I'm not sober, yeah,I'm not sober.,I am afraid of the dark,When I am alone with my thoughts.,So here's to avoid falling apart...,I'm not sober, yeah,I'm not sober.,It starts with a quiver,,A thought provoked shiver,,A fear I can't deliver.,They don't need me.,They don't need me
,
,
",,
,Maria Mena, Good And Bad,"Both good and bad,The one who screams the loudest,Whoever holds the torch,Owns the room, captures the audience,Gets the attention, both good and bad,I never claimed to be flawless,I owned up to my faults,Yours were subtle painful betrayal,But I see what you did, both good and bad,There's two sides to our story,And mine gets all the fame,I frolic in the glory,And buckle in the shame,I see what I did, I see what you did,I see what we did, both good and bad,I see what I did, I see what you did,I see what we did, both good and bad,Good and bad,We're both in pain one morning,Something that once made sense,And it it's tempting to distribute blame,But let's see what we did, both good and bad,I really tried my hardest,I did the best I could,With what I knew then, I know better now,'Cause I see what I did, both good and bad,There's two sides to our story,And mine gets all the fame,I frolic in the glory,And buckle in the shame,I see what I did, I see what you did,I see what we did, both good and bad,I see what I did, I see what you did,I see what we did, both good and bad,Good and bad,We're both in pain one morning,Something that once made sense,And it it's tempting to distribute blame,But let's see what we did, both good and bad,There's two sides to our story,And mine gets all the fame,I frolic in the glory,And buckle in the shame,I see what I did, I see what you did,I see what we did, both good and bad,I see what I did, I see what you did,I see what we did, both good and bad,Good and bad
,
,
",,
,Maria Mena, Confess !,"You know what you did,You gave up on me long ago but failed to let me know,I'm not over it,The fault not spread evenly made askew by the one that leaves,Confess, the harder I tried the more I broke it,But you let me know too late,Confess, there's a reason why my heart was open,You we afraid to close the gate and you can't just stand there and wait you have to meet me halfway,I took all the blame,I carried it willingly the guilt almost killing me,Takes two to play this game,I need you to own up to it,That you should have called it quits,Confess, the harder I tried the more I broke it,But you let me know too late,Confess, there's a reason why my heart was open,You were afraid to close the gate,But you can't just stand there and wait,You have to meet me halfway,And before you move on,Admit you were wrong,Your rejection was silent dear,I wish you would've made it clear,Confess, the harder I tried the more I broke it,But you let me know too late,Confess, there's a reason why my heart was open,You were afraid to close the gates and you cant just stand there and wait,You have to meet me halfway
,
,
",,
,Maria Mena, Good God,"Good God, what have I done?,Gone and left the only one,That ever really, truly, deeply loved me,Honestly, how stupid could I be?,My poor heart your demons won,You turned dark, picked out a gun,In the encapable hands of your master,Downward spiral, bound for disaster,I am sorry, please forgive me,I am sorry, we're not where we thought we'd be,Where we thought we'd be,Good God, I have regrets,Was too hard, I couldn't forget,And his love for me was much like a father,Mandatory care for a daughter,I am sorry, please forgive me,I am sorry, we're not where we thought we'd be,Where we thought we'd be,I am sorry, please forgive me,I am sorry, we're not where we thought we'd be,Where we thought we'd be,Things end,From lovers to friends,I'll call him,When this painful part ends,When I've felt every possible emotion,Cried enough to fill up an ocean
,
,
",,
,The Black Eyed Peas, Play It Loud,"Pledge my allegiance,,To rhythm and sound.,Music is my medicine,,Let the rhythm Pound,(CHORUS),And play it loud, baby play it loud,Play it loud, Baby play it loud,Rock the crowd, Baby rock the crowd,And play it loud, baby play it loud,I found a love, ,Its in the music,Drop all your guns,,Drop all that bullshit.,We come to learn,Inside the instruments.,John Lennon, Bob Marley are my presidents.,The sound of trumpets wake up people laying down,,The drum and volume playin gonna shake the ground,The violins will pick you up when you are down,The melody will spin around and around.,(CHORUS),And whos going to stop us?,Whos going to stop us from rocking with a sound?,Whos going to stop us, whos going to stop us,From b-b-breaking it down?,Play it loud, baby play it loud.,Play it loud, Baby play it loud,Rock the crowd, Baby rock the crowd,And rock the crowd, Baby play it loud.,Hot beats coming from the city streets,,MP3s via internet from overseas,DJ's playing, you dance to 'em,Swaying, staying up,All night, zombie life,I'll be your delight, Oh.,The sound of trumpets wake up people laying down, Oh,The drum and volume playin gonna shake the ground,The violins will pick you up when you are down,The melody will spin around and around.,(CHORUS),And whos going to stop us?,Whos going to stop us from rocking with a sound?,Whos going to stop us, whos going to stop us,From b-b-breaking it down?,Play it loud, baby play it loud.,Play it loud, Baby play it loud,Rock the crowd, Baby rock the crowd,And play it loud, Baby play it loud.,I pledge my allegiance.,To rhythm and sound.
,
,
",,
,BBMak, Love Is Leaving,"There were times I knew,But I found it hard to say,You were special in my life,Never thought you'd go away,I'll be strong,I'll get by,Without you in my life,I can see through your lies,Did you ever love me,I never found your love,You and I know,Love is leaving,And you don't want me anymore,Why should I even try,You and I know,Love is leaving,Now you're the last thing on my mind,Someone else I will find,A memory I've left behind,If I ever made you cry,Any reason I can't find,It was lonely by your side,Like a fool I stood by you,I'll be strong,I'll get by,Without you in my life,I can see through your lies,Did you ever love me,I never found your love,You and I know,Love is leaving,And you don't want me anymore,Why should I even try,You and I know,Love is leaving,Now you're the last thing on my mind,Someone else I will find,A memory I've left behind,Is there something I could do,Is there something I should say,Is there someone else,To keep you from me now,You and I know,Love is leaving,And you don't want me anymore,Why should I even try,You and I know,Love is leaving,Now you're the last thing on my mind,Someone else I will find,A memory I've left behind
,
,
",,
,Maria Mena, I Don't Wanna See You With Her,"It's a small town, word gets around,And travels in circles through hoops over hurdles,Everyone's careless,They talk about our mess,They don't care how it hurts me,Must think it was easy,They say you have a new love,I'm happy for you, love,I just don't wanna meet her,Are you gonna keep her?,'Cause I don't wanna see you with her,I don't wanna see her face,Resting in your embrace,Her feets standing in my place,I don't wanna see you moved on,I don't think that I'm that strong,It hasn't been that long,Since I was the one in your arms,I don't like being sober,That's when it hits me it's over,All though it was my choice,I can't shake your calm voice,Saying you found one that makes you feel as strong,And helps you through hard times,'Cause that job was once mine,They say you have a new love,I'm happy for you, love,I just don't wanna meet her,Are you gonna keep her?,'Cause I don't wanna see you with her,I don't wanna see her face,Resting in your embrace,Her feets standing in my place,Guess I don't wanna see you moved on,I don't think that I'm that strong,It hasn't been that long,Since I was the one in your arms,I don't wanna see you with her,I don't wanna see you with her,'Cause I don't wanna see you with her,I don't wanna see her face,Resting in your embrace,Her feets standing in my place,Oh, I don't wanna see you moved on,I don't think that I'm that strong,It hasn't been that long,Since I was the one in your arms,'Cause I don't wanna see you with her
,
,
",,
,Maria Mena, Where I Come From,"Temper, looks like a bomb went off my side of the room,Simple, say you fell and you hurt yourself pick up the glass, I'll get the broom,You're tired, it's time to realise we're not wired the same and that is why,When we argue we rarely come back from it with whole souls,We talk like they talked where I come from We fight like they fought where I come,From,And I'd rather be alone than end up inside a home,Like the one I come from,Used to pity the lovers who claimed they'd grown apart,But lately I've played with the thought of getting out, a brand new start,'Cause I'm tired, it's time to realise we're not wired the same and that is why,When we argue we rarely come back from it with whole souls,We talk like they talked where I come from,We fight like they fought where I come from,And I'd rather be alone than end up inside a home,Like the one I come from
,
,
",,
,"The Black Eyed Peas,The Black Eyed Peas Experience,Don't Stop the Party", Don't Stop the Party,"Don't, don't, don't, don't, ,Don't, don't, don't, don't, ,Don't, don't, don't, don't stop the party. ,Don't, don't, don't, don't, ,Don't, don't, don't, don't, ,Stop, stop, stop, ,The, the, the, don't stop the party. ,Don't stop the party ,Don't, don't, don't, don't, ,Don't, don't, don't, don't, ,Stop, stop, stop, ,The, the, the, don't stop the party. ,This is that original, ,This has no identical, ,You can't have my digital, ,Future aboriginal, ,Get up off my genitals, ,I stay on that pinnacle, ,Chewin up my lryicals, ,Call me verbal criminal, ,Send you to that clinical, ,Subscribe use of chemicals, ,I.D.O. and visual, can't see me, invisible. ,I old school like Biblical, ,Futuristic next level, ,Never on that typical ,Will I stop? I never know... ,I ain't gonna stop until I'm done (don't stop it) ,I ain't gonna quit until I've won,Now baby don't you stop it, stop it ,Now baby don't you stop it, stop it ,Now baby don't you stop it, stop it, stop it ,You can't stop us now...,I ain't gonna stop until I'm done (don't stop it) ,I ain't gonna quit should I've won,Now baby don't you stop it, stop it ,Now baby don't you stop it, stop it ,Now baby don't you stop it, stop it, stop it, stop it ,Even if wanna to, you can't stop us now... ,Don't stop the party ,Don't, don't, don't, don't, ,Don't, don't, don't, don't, ,Stop, stop, stop, ,The, the, the, don't stop the party. ,Don't, don't, don't, don't, ,Don't, don't, don't, don't, ,Stop, stop, stop, ,The, the, the, don't stop the party. ,You could cause me crazy man, ,Everyday I'm party'in, ,You could find me at the club, ,Pop'n bottles, minglin, ,Ladies danc'in to the jam, ,Actin' all day, man, oh man, ,Got me in the mood again, ,At the party, partyin', ,Yeah, I get that happenin', ,Taken shots, whatever man ,Party like a veteran, ,Music is my medicine, ,You, and Bobby Settlan, ,Can't restart I'm steppin' in, ,Take control and feel the band ,Yeah, that's right, everyone jam. ,I'm that one that lights it up ,We red hot like firetrucks, ,Burn that book, that what's up, ,Tell that DJ turn it up. ,We droppin, that music, good people all around ,We rockin', head knockin', 'coz they can't shut us down. ,Ain't, ain't no stoppin' ,We gonna keep on rockin', ,Baby ain't no stoppin, ,You cannot stop us now. ,I ain't gonna stop until I'm done (don't stop it) ,I ain't gonna quit should I've won,  ,Now baby don't you stop it, stop it ,Now baby don't you stop it, stop it ,Now baby don't you stop it, stop it, stop it ,You can't stop us now..., ,I ain't gonna stop until I'm done (don't stop it) ,I ain't gonna quit should I've won,Now baby don't you stop it, stop it ,Now baby don't you stop it, stop it ,Now baby don't you stop it, stop it, stop it, stop it ,Even if wanna to, you can't stop us now... ,Don't stop the party ,Don't, don't, don't, don't, ,Don't, don't, don't, don't, ,Stop, stop, stop, ,The, the, the, don't stop the party. ,Don't, don't, don't, don't, ,Don't, don't, don't, don't, ,Stop, stop, stop, ,The, the, the, don't stop the party. ,Don't, don't, don't, don't, ,Don't, don't, don't, don't, ,Stop, stop, stop, ,The, the, the, don't stop the party. ,Don't, don't, don't, don't, ,Don't, don't, don't, don't, ,Stop, stop, stop, ,The, the, the, don't stop the party.
,
,
",,
,The Black Eyed Peas, The Best One Yet (The Boy),"Right now,Right now there's the the right time ,For the good thing tonight,Let's celebrate,Let's bring up on the better times,And not the sadder times,Dissipate(?),Oh, I feel like a champion in the stadium,There's love ?,Imma put this in my memory ,As the best time ever,This is the best one yet,And I'm so happy,How could we ever forget,This is the best one,This is the best one,This is the best one yet (Oh-Oh-Wi-Oh),And I'm so happy,How could we ever forget (Oh-Oh-Wi-Oh),This is the best one,This is the best one,This is the best one yet,Let's celebrate, let's celebrate, let's celebrate (Oh-Oh-Wi-Oh),Let's celebrate, let's celebrate, let's celebrate (Oh-Oh-Wi-Oh),Let's do it right now,We're not hesitate,We gonna rock it to the top,Like elevate,Bottoms up,Here we go,Let's intoxicate,I was feeling good,But now I'm feeling afraid,Best ever,And you know I don't exaggerate ,This moment is the moment I will appreciate,Today is a day I will remember,This is the best one yet,And I'm so happy,How could we ever forget,This is the best one,This is the best one,This is the best one yet (Oh-Oh-Wi-Oh),And I'm so happy,How could we ever forget (Oh-Oh-Wi-Oh),This is the best one,This is the best one,This is the best one yet,Let's celebrate, let's celebrate, let's celebrate (Oh-Oh-Wi-Oh),Let's celebrate, let's celebrate, let's celebrate (Oh-Oh-Wi-Oh),This is your moment,This is your moment,This is the time,This is the time,To get it right tonight,To get it right,You don't wanna let the moment pass you by,So come on and save this one in a photograph,Everything I ? describe,It made us laugh,The night's young and we raise our glass,We'll make it count like the best one we ever had,The best one yet,The best one yet,The best one yet,The best one yet,The best one yet,The best one yet,This is the best one yet,The best one yet,The best one yet,The best one yet,The best one yet,The best one yet,The best one yet,This is the best one yet (Oh-Oh-Wi-Oh),This is the best one yet,And I'm so happy,How could we ever forget,This is the best one,This is the best one,This is the best one yet (Oh-Oh-Wi-Oh),And I'm so happy,How could we ever forget (Oh-Oh-Wi-Oh),This is the best one,This is the best one - one yet,Let's celebrate, let's celebrate, let's celebrate (Oh-Oh-Wi-Oh),Let's celebrate, let's celebrate, let's celebrate (Oh-Oh-Wi-Oh)
,
,
",,
,"The Black Eyed Peas,The Black Eyed Peas Experience", Fashion Beats,"Hey doctor, is something wrong with me?,Am I crazy? Do I need a remedy?,I'm a club rocker, that's my personality,It's in fashion to be blasting them beats,And I like to go out every night,I like to go out every night,I like to go out every night,I like to go out and,Dance, dance to them beats, beats, beats (to the beat),,Dance, dance to them beats, beats, beats, (to the beat),,Dance, dance to them beats, beats, beats (to the beat).,Rock, rock to them beats, beats, beats (to the beat),Get ready for the night, woah.,Party people just keep on rockin',Get ready for the night, woah.,Party people just keep on rockin', rockin',In fashion,,In fashion,,In fashion,,In fashion,Hey, yeah.,Hey, yeah.,Enchanté, comment allez-vous? ,Très bien, merci et vous?,Super good, super nice,Salt and pepper,,Sugar and spice ,Space sugar case to the moon, ,Let's go,,Coco, Chanel, Marilyn Monroe ,Catwalk, fashion show,,Runway, fashion show,,Tall man, radio ,G6, I don't know.,Get ready for the night, woah.,Party people just keep on rockin',Get ready for the night, woah.,Party people just keep on rockin', rockin',In fashion,,In fashion,,In fashion,,In fashion,Hey, yeah.,Hey, yeah.,Hey, yeah.,Hey, yeah.,Hey doctor, ain't nothing wrong with me,I ain't crazy, I don't need no remedy,I'm a club rocker, that's my personality,And it's in fashion to be blasting them beats,And I like to go out every night,I like to go out every night,I like to go out every night,I like to go out,Bonsoir, I'm going at night,Bonsoir, we're going at night,Bonsoir, we're going at night,Bonsoir, je me reveille?? ,Fashion, chic, sexy, freak,Fashion, chic, sexy, freak,In fashion,,In fashion,,In fashion,,In fashion,To the beat,,To the beat,,To the beat,Rock, rock to them beats, beats, beats (to the beat),Dance, dance to them beats, beats, beats (to the beat),Dance, dance to them beats, beats, beats (to the beat),Rock, rock to them beats, beats, beats,,Beats, beats, beats, beats, beats.
,
,
",,
,The Black Eyed Peas, Whenever,"[Fergie],Look through the tree,past the sky,beyond the northern light,you will see my delight,back the in your eyes,And I won't let go if you wait for me,whenever whatever,and you select the destination,whatever whenever,I walk through,whatever whenever,I walk through,I wa-I wa-I wanna,love forever love forever baby,whenever wherever you wanna go one day,to do whatever do whatever baby,whenever wherever forever together whenever,[will.i.am],I fell asleep,don't know why,you let me come alive,you and me,we collide,ignite the starry fire,[Fergie],and you warm me up and you wait for it,whenever whatever,and you,you wake me up and you wait for it,whenever whenever,I wanna go,whatever whenever,I walk through,I wa-I wa-I wanna,love forever love forever baby,whenever wherever you wanna go one day,to do whatever do whatever baby,whenever wherever forever together whenever,whatever whatever whatever whatever whatever whatever whatever whatever,[will.i.am],I love you forever and ever for always I love you,whenever you need me,I'll be there right by you,whenever you call me,I'm there when you call,whenever your falling,I'm there when you fall,whenever you going,I'll be right there showing,our love's always growing,and growing and growing,I know that you know it,there's no need for guessing,when I am requested,I'm there with no questions asked,I'll go wherever whenever,if ever you need me,I'll be there forever
,
,
",,
,The Black Eyed Peas, Someday,"[will.i.am],Someday I'm gonna get it right my life,Someday I'm gonna figure it out maybe tonight,'Cause i know imma get it right,And i know imma get it right,Someday, one day,Someday, one day,I'm bout to get it, bout to get, get, get it,Can't do it little cause i'm big, big Willy,I'm bout to do it just like DJ spit it ,Cause i was born, i was born to kill it,Get in my dollars, get, get in my dollars,I need it bigger i'm too big for smiler,I keep on working like i'm blue collar,Im bout to get it, baby, inshallah,Someday I'm gonna get it right my life,Someday I'm gonna figure it out maybe tonight,'Cause i know imma get it right,And i know imma get it right,Someday, one day,Someday, one day,[Taboo],Breath, just breath,Now breath...,Drop it,[apl.de.ap],I came here from the Philippines,In the plain with some big, big dreams,I left everything i knew behind me,Like my mom and my family,People tell me that i ain't gonna make it,I gotta finger in my all of them haters,In the minute ya'll go castivate cause,Cause in the minute imma get my paper,[will.i.am],Someday I'm gonna get it right my life,Someday I'm gonna figure it out maybe tonight,'Cause i know imma get it right,And i know imma get it right,Someday, one day,Someday, one day,[Taboo],Someday you're wondering if you're really gonna make it,Sometimes you wanna know if there's anyone to save ya,I know you came down before, like cannot leave the ground,Still got a little chance to turn it all around,Is no your time to come for give it all you got,Don't stop believin for give it all you got,Got, got, got, got...
,
,
",,
,Maria Mena, Bend Till I Break,"We're in a bind,Borrowed time, you were not mine,But I don't mind 'cause I live on scraps,Until you come back, until you react,I'll make sure that you see how much I can take,I'll bend and I'll bend till I break,Till you see how much I can take,I'll bend and I'll bend till I break,I'll bend and I'll bend till I break,Take what you need,Undress me, I want you to see,How you make me feel completely alone,When you are gone, is that what you want?,Does that turn you on, to see how much I can take,I'll bend and I'll bend till I break,Till you see how much I can take,Yes, I'll bend and I'll bend till I break,I'll bend and I'll bend till I break,I'll wait for you,Killing time,Just see how much I can take,I'll bend and I'll bend till I break,Till you see how much I can take,Yes, I'll bend and I'll bend till I break,I'll bend and I'll bend till I break,I'll bend and I'll bend till I break,I'll bend and I'll bend till I break
,
,
",,
