album,singer,song,lyric,written_by,genre
,Afromental, City jungle,"City jungle x8,Łozina:,Somebody's watching me,I hear them whispers all around,I need to find my love,but what I hear is just weird sounds... (just weird sounds),Somebody screams (scream),Some people fight some people run,I need to find my love... (find my love),But what I hear it just weird sounds,I hear some #%!@&'s in my head,City jungle x4,Now am I mad,I think I saw her once or twice,But she's not there any more,Though I won't forget her eyes... (forget her eyes),Them whispers still in me,Weird thoughts are goin' through my mind,I need find my love,In the city jungle. All right,Chorus:,I can't see no light,My life's goin' by,Can't waste my time,Gotta stop to fihgt for love for life,So let's give a try to fight for better life,Love is all around,Don't waste you're time,City jungle x4,Tomson:,I can't think,I can't sleep,That jungle's scarrin' me,I get sick of that shit,I just wanna get out of there,There no sense to live, no sense to feel,Nothing here is real,Fake smiles (fake smiles),Fake tears (fake tears),Fake happiness (fake happiness),Fake fear (fake fear),I just wanna know what makes that place so strange to live in,I just wanna know how people made a jungle from a city,I just keep hope alive that love will still have a meaning,That me myself and I will find the feelin' All right,Chorus:,I can't see no light,My life's goin' by,Can't waste my time,Gotta stop to fihgt for love for life,So let's give a try to fight for better life,Love is all around,Don't waste you're time x2
,
,
",,
,Afromental, R'n'B,"When your eyes looked at me,I didn't know what I'm about to see,Girl...Girl why don't you listen to R'n'B,She was a good girl from a good family,with a cute ""baby face"" and a smile of a Queen,She'd be my whole world, but she was missing one important thing,I couldn't understand isn't something wrong with me,or there was a missing puzzle in that baby Queen,She was perfect but I guess I could not be this Oueen's King,I see my homeboy lookin' weird to me,He's wondering around like he's got no place to be,I try to help.,I try to talk with him, but I can't find the way to succeed,Suddenly he comes to me,tells me everything about his beauty Queen,Now I know what's goin' on with him,Hopefully that feeling will never hit in me,When your eyes looked at me,I didn't know what I'm about to see,Girl...Girl why don't you listen to R'n'B
,
,
",,
,Afromental, The Breakthru,"Ladies and gentelmen,IT'S AFROMENTAL,so U better get ready,cuz it's time for The Breakthru..,Łozina:,Hold up stop for the second. You feeling strange,Your body shakin'and different drills goin'thru your body,You're standing' still not believin' you feel that way,You feel like... you don't wanna be awaken,When you hear the music you gotta move,Don't you tell me you ain't feelin'groove,I need a girl that's gonna move so smooth,So baby get ready to break the rules,Shake that ass like,Move your booty like,Shake it left'n right,Just feel the music x2,Tomson:,Ain't got no place to hide,You gonna feel this vibe,The Breakthru is goin'to get ya,Don't fight the music in ya,I know you're not used to feel that,Let it go and feel thevibration,When you hear the music you gotta move,Don't you tell me you ain't feelin'groove,I need a girl that's gonna move so smooth,So baby get ready to brak the rules,Shake that ass like,Move your booty like,Shake it left'n right,Just feel the music x2,Łozina:,Baby girl... one day you're gonna come to my house,We'll make love like never before,I'll be your Daddy girl that's right,But till then...,Shake that ass like,Move your booty like,Shake it left'n right,Just move your body girl!,Shake that ass like,Move your booty like,Shake it left'n right,Just shake that god damn booty girl!,Shake that ass like,Move your booty like,Shake it left'n right,Just feel the music.
,
,
",,
,Afromental, Happy Day,"Waking up every mornig join the happy day,keep walking on with smile on your face, baby don't complain,The world is waiting for you, with all of it's grace,so why don't you show them that the world is a happy place,why don't you believe that you can,say it proudly, thet you're a joyfull men,the power of your smile can heal everything,So everybody sing in the name of a happy day!,I'm loving my life I'm doing allright,,if something is wrong with it, I'm ready to fight for it,u la la la la la lala la la la la la x2,I know it's not perfect all day,,even if the boat that your on is drawning,,even if you really want to run away,baby just stay, baby just hear me say:,Love...............joy............smile that's all you neeeeed!!!!,Celebrate the gift of life, be the one to make people smile,,make the world a better place, spread your wings and fly away!!!,I'm loving my life, I'm doing allright,If something is wrong with it, I'm ready to fight for it,u la la la la la lala la la la la la x2
,
,
",,
,Afromental, Thing we've got,"I got a girl, goddess looking face, yo,She's a queen for me,She's giving me feeling of elevation,I can't eat, can't sleep,She's all I ever needed,And I know she needs me too,My future baby-mother (baby mother),My love,And so sweet that no one can't compete,My girl waiting in my house,Still there for me to watch her out,(So sweet),For a beauty baby girl laying in my bed,Waiting for my touch,I'm here,Back in the house,Entering the room,I can't believe my eyes,What I see is my baby girl,Laying in the bed with another man,Chorus:,Although you're a winner of,Great smile ( of sweet),Brown eyes,You're not gonna get it,Between us it's alright,Cos no whole mess up,This thing that we've go,So baby there's no chance,So don't even try,I was walking down the street,Sun was shining birds were singing,Right there for me,Love was in the air,It was just a matter of time when it will hitten me,Then suddenly she came,It just took me one look to find love in her,We set down together,We talk all day,And then she said,Come baby, come to my place,I'll give it to you give it to me,would be great,There is nothing against to on our way,Let's go to my place don't hesitate,So we did it, we made it out, with played,Should give the promise that it definitely was great,But suddenly other man just came,Shit ...,It was her man,He was her man,Chorus:,Although you're a winner of,Great smile ( of sweet),Brown eyes,You're not gonna get it,Between us it's alright,Cos no whole mess up,This thing that we've go,So baby there's no chance,So don't even try,Oh God..,Well I'm sorry man..,I'm really sorry,I didn't know what I was into,I didn't know she was your girl,Joł Joł [ ;P] Man..Man..Man...,It's all good...,What?...,It's all good...,Really?..,yeah...,So what?...,We're all good...,We good...,All good brother..,Alright...,Back together....,Yeah...,Peace...,Chorus:,Although you're a winner of,Great smile ( of sweet),Brown eyes,You're not gonna get it,Between us it's alright,Cos no whole mess up,This thing that we've go,So baby there's no chance,So don't even try
,
,
",,
,Afromental,Słowo,"Stopa, nuta, werbel, dzwoonek na przerwę,Jeden wali w kiblu bucha, drugi wali w gębę,Niby każdy, a co drugi, jeden z drugim planuje co zrobić w popędem,Będziesz u pani!(Co?!) Pani na bani,To co się dzieje między nami ma tu za nic,Ręce opadają, co się dzieje co dzień,Jak to się tu nie zmieni trzeba będzie zrobić bunt,Afromental ma vibe, czas wreszcie obudzić ten kraj,I ty też ponieść się daj,,jak stoisz to patrz, jak grasz to graj,Ta muza w uszach moc daje ci,,jak chcesz to bierz to tak jak my,To dobra droga do dobrej gry,,to jest ten znak, który dajemy ci,REF:,Więc chodź, jeśli czujesz to co ja, słyszysz to co ja,To moc, która prosto z serca tak nakręca nas,Los wybrany przez nas, ten wybór to pewniak,Więc co jeszcze trzyma tu cię, w miejscu każe ci biec,Na ulicy panuje strach, miasto aż się boi spać,Z kosą nocą dzieci chodzą, koszą, że aż strach się bać,Lala ma 13naśćie lat, myśli że poznała świat,A na drutach robi za 15 PLN bez VAT,Alkonato(?) rządzi a na twarzy trądzik,Wyliczanka w kółko trwa, który pierwszy tutaj zbłądzi,Ręce opadają, co się dzieje co dzień,Jak to się tu nie zmieni trzeba będzie zrobić bunt,Afromental ma vibe, czas wreszcie obudzić ten kraj,I ty też ponieść się daj, jak stoisz to patrz, jak grasz to graj,Ta muza w uszach moc daje ci, jak chcesz to bierz to tak jak my,To dobra droga do dobrej gry, to jest ten znak, który dajemy ci,REF:,Więc chodź, jeśli czujesz to co ja, słyszysz to co ja,To moc, która prosto z serca tak nakręca nas,Los wybrany przez nas, ten wybór to pewniak,Więc co jeszcze trzyma tu cię, w miejscu każe ci biec,Skurwysyństwo kraj oddziela Polska, rajs raj na owym patera,,Polska naj tylko znajdź się tu i teraz ,,wychowaj mnie albo blond będziesz zbierał, na twardziela dwa wyjścia,patryjotyzm , zagranica misja zarobic wiecej złotych zostac w kraju, starczy w rękach wódy,pod miotem, ale pierdolic zawsze prościej jest na skruty, propagandy miejskiej subkultury,bez istoty działania których wturowanie wchłania sytuacja wprost nie do wytrzymania,,ministrowie od wychowania propagowania, duży problem to nie mały kłopot,,Romek z rządem chce pomagac tylko po co ? Niech się zajmie swoją liga tak jak dotąd,. Na żywo nr Afromental Słowo,Afromental ma vibe, czas wreszcie obudzić ten kraj,I ty też ponieść się daj, jak stoisz to patrz, jak grasz to graj,Ta muza w uszach moc daje ci, jak chcesz to bierz to tak jak my,To dobra droga do dobrej gry, to jest ten znak, który dajemy ci,REF:,Więc chodź, jeśli czujesz to co ja, słyszysz to co ja,To moc, która prosto z serca tak nakręca nas,Los wybrany przez nas, ten wybór to pewniak,Więc co jeszcze trzyma tu cię, w miejscu każe ci biec
,
,
",,
,Afromental, Bootycall,"Walking in the club, checking out,yea what's going on,what's that sound? x2,Looking all around I know it now,Yea them hotties bounce,don't be scared ma,I'm a friend of ya,I wanna grab that, squeze that, touch that breast,Look at it when you shake your ass,Babygirl do it fast, couse I might spend it on someone else,Do that, shake that, bring that back,Love it when I touch your neck,Girl band-over show your crack,made me feel like that,I can hear your bootycall, your bootycall x4,I can hear ya,girl I can hear ya,Your booty calling,I start to fall in love,Your booty wants to,It tries to show you,So let'it do that,Let it seduce me,I can see you dance,hey beauty take your chance,Come on girl crump that ass,if you need to I'll crump back x2,I'm looking at your jeans pants,figuring how you fit that,I wanna take it out bad,So I can do the slap clap
,
,
",,
,Baby Bash, Fantasy Girl,"[Marty James:],Yea, yea,A fairy tale, a piece of fiction,Tell me she's make belive,Got a body you can have,She a fantasy fantasy,She a fantasy fantasy girl,(all time that girl's a beast),She's like a real life,She a fantasy fantasy,She a fantasy fantasy girl,(all time that girl's a beast),She's like a real life,[Baby Bash:],TV, movies and magazines,Novelas, game shows, and fancy dreams,Living way lavish on fancy things,High definition hd so clean,Playboy bunny like the girl next door,She's Snow White, I'm Hugh Hefner,Freshtastic Christian Dior,With a body of a timple I must explore,Girl I must incline quirking down low,With that ass behind,Tell me is I dreaming or you just that fine,If you got imagination then imagine mine,[Marty James: Chorus],A fairy tale a piece of fiction,Tell me she's make belive,Got a body you can have,She a fantasy fantasy,She a fantasy fantasy girl,(all time that girl's a beast),She's like a real life,She a fantasy fantasy,She a fantasy fantasy girl,(all time that girl's a beast),She's like a real life,[Baby Bash:],Quiet like my night brand new moon,Look at the allusion across the room,Day time night girl afternoon,Doing the most so don't chat perfume,Now how am I gonna handle this,IPhone, mac book, blue ray disc,And she look like she came a video,You know the one dey say shawty get it low,Sippin' sangria mama mia,Welcome everybody to my fantasia,Way more styles than a fashionista,My freak in a sheets my diamond diva,[Marty James: Chorus],A fairy tale a piece of fiction,Tell me she's make belive,Got a body you can have,She a fantasy fantasy,She a fantasy fantasy girl,(all time that girl's a beast),She's like a real life,She a fantasy fantasy,She a fantasy fantasy girl,(all time that girl's a beast),She's like a real life,[Marty James:],You can't spell fantasy, without n-a-s-t-y,But you better be a real time,You can't spell fantasy, without n-a-s-t-y,It don't matter when the clock strikes,That's how the story go-go-go-goes,Go work your magic oh,,I got to have it oh,,So let me sho-sho-sho-show,And drop it right here,Make this money disapear (yea),[Marty James: Chorus],A fairy tale a piece of fiction,Tell me she's make belive,Got a body you can have,She a fantasy fantasy,She a fantasy fantasy girl,(all time that girl's a beast),She's like a real life,She a fantasy fantasy,She a fantasy fantasy girl,(all time that girl's a beast),She's like a real life,She a fantasy fantasy,She a fantasy fantasy,She a fantasy fantasy girl
,
,
",,
,The Lonely Hearts, Good Intentions,"This ain't the first time that I've been around,Don't hate yourself on my account,'Cause I ain't gonna be around that long,And there's no shame in showing how you feel,Honey, it could take a million years,To see where we went wrong,But I'm okay 'cause I'm not the only one,Who feels the way,In a world of aggression and depression,We're the same,So will you come to me?,And I will come to you,To see that we don't work together,And when you come to me,I always come to you,'Cause we were meant to ruin each other,Good intentions flew right out the door,When our troubles hit the floor,I guess we were just young like that,Substitutions of the cheaper kind,Honey, you can keep in mind,All the sins on my behalf,I'm okay 'cause I'm not the only one,Who feels this way,In a world of aggression and depression,We're the same,So will you come to me?,And I will come to you,To see that we don't work together,And when you come to me,I always come to you,'Cause we were meant to ruin each other's lives,And you found your way to be happy,And as of yet, I've not found mine,So won't you head on down,Back across that Texas line,So will you come to me?,And I will come to you,To see that we don't work together,And when you come to me,I always come to you,'Cause we were meant to ruin each other,We were meant to ruin each other,We were meant to ruin each other's lives
,
,
",,
,The Lonely Hearts, War Brides,"War brides, we should have took time to find our way,Peace time starts with bullets and ends in a parade,Friday night, the old man said, ?We've gone too far?,By midnight, he forgot his troubles at the bar,And we feel just like we've never lived,The TV says we did,Is this what we think freedom is all about?,Sorrow, all dressed up in a uniform,Tomorrow your child ain't coming back to where he's from,Back home the old man said, ?It's for the best?,Because narrow is the path to righteousness, I know,And we feel just like we've never lived,The TV says we did,Is this what we think freedom is all about?,And we feel just like we've never lived,The paper says we did,Is this what we think freedom is all about?,And we feel just like we've never lived,The TV says we did,And is that what we think freedom is all about?,And we feel just like we've never lived,The paper says we did,Is this what we think freedom is all about?
,
,
",,
,The Lonely Hearts, Death Of Me,"Have you ever tried to talk and not make sense?,And do you ever want to drive away and not tell them where you've been?,And do the skies seem too bright?,Do the southern winds seem to feel as sweet as sin?,And I've got no place to rest my head,And all my clever words have now been said,And I think this will turn out to be the death of me,The death of me, the death of me, the death of me,And do you see a stranger in every room?,Does it seem that you need to find an opinion you can prove?,And are your feet shuffling towards the door?,And has it gotten to the point where you can't take it any more?,And I've got no place to rest my head,And all my clever words have now been said,And I think this will turn out to be the death of me,The death of me, the death of me, the death of me,The death of me, oh Lord, the death of me
,
,
",,
,The Lonely Hearts, Love And Politics,"And people speak of love and politics,And everything in between,The world keeps spinning and you keep grinning,But I'll, I'll never let you go,The demons eat at the feast of old,A baby born with a heart of gold,And sometimes I feel like I sold my soul,But I'll, I'll never let you go,I'll never let you feel this way, it's all okay,Just dance and sing, you pretty thing,I've always had a time with tendencies,To do things without wrong,A passion without loyalty,Has lasted far too long,A century that takes its toll,An innocence that we all know,And sometimes I feel like I sold my soul,But I'll, I'll never let you go,I'll never let you feel this way, it's all okay,Just dance and sing, you pretty thing,Don't feel this way, it's all okay,I'll never let you go, I'll never let you go,And I am the weakest of the sinners and the saints,I am the weakest of the sinners and the saints,Oh, I am the weakest of the sinners and the saints,Oh, I am the weakest of the sinners and the saints,Don't feel this way, it's all okay,Just dance and sing, you pretty thing,Don't feel this way, it's all okay,I'll never let you go, I'll never let you go
,
,
",,
,B.B. King, Miss Martha King,"Yes, I'm sittin' here thinkin',Thinkin' about Miss Martha King,Well, I'm sitin' here thinkin',Thinkin' about Miss Martha King,I'm in love with that woman,I ain't afraid to call her name,Lord, I did everythin' for you,Done everything I could,Everything that I did, you know,It didn't do me no good,Miss Martha King,Do you think you're doin' me right?,Know you go out everyday, darlin',And you don't come home tonight,Done everything, babe,Everything I could,Everything I did, you know,It didn't do me now good,Miss Martha King,Do you think you're doin' me right?,Know you go out everyday, baby,And still you want to fight
,
,
",,
,B.B. King, When The Saints Go Marching In,"We are traveling in the footsteps,Of those who've gone before,But we'll all be reunited (but if we stand reunited),On a new and sunlit shore (then a new world is in store),Oh when the saints go marching in,When the saints go marching in,Oh lord I want to be in that number,When the saints go marching in,And when the sun refuse (begins) to shine,And when the sun refuse (begins) to shine,Oh lord I want to be in that number,When the saints go marching in,When the moon turns red with blood,When the moon turns red with blood,Oh lord I want to be in that number,When the saints go marching in,On that hallelujah day,On that hallelujah day,Oh lord I want to be in that number,When the saints go marching in,Oh when the trumpet sounds the call,Oh when the trumpet sounds the call,Oh lord I want to be in that number,When the saints go marching in,Some say this world of trouble,Is the only one we need,But I'm waiting for that morning,When the new world is revealed,When the revelation (revolution) comes,When the revelation (revolution) comes,Oh lord I want to be in that number,When the saints go marching in,When the rich go out and work,When the rich go out and work,Oh lord I want to be in that number,When the saints go marching in,When the air is pure and clean,When the air is pure and clean,Oh lord I want to be in that number,When the saints go marching in,When we all have food to eat,When we all have food to eat,Oh lord I want to be in that number,When the saints go marching in,When our leaders learn to cry,When our leaders learn to cry,Oh lord I want to be in that number,When the saints go marching in
,
,
",,
,B.B. King, Key To The Highway,"I've got the key to the highway,Feel I got to go,Gonna leave here running,Walking is both too slow,I'm going back to the border,Baby where I'm better known,Because you haven't done nothing baby,But draw the good man from home,When the moon peeps over the mountain,Little girl I'll be on my way,I'm gonna roll the highway until the break of day,Oh give me one more kiss darling,Just before I go,Cause when I leave this time little girl,I won't be back no more,I've got the key to the highway,Little darling I got to go,I'm gonna leave here running,Walking is both too slow
,
,
",,
,"B.B. King,Cuby + Blizzards,Isaac Hayes,Otis Redding,Steve Miller Band,The Animals,The Doors,Rock Me Baby", Rock Me Baby,"Rock me baby, rock me all night long,Rock me baby, honey, rock me all night long,I want you to rock me baby,,Like my back ain't got no bones,Roll me baby, like you roll a wagon wheel,I want you to roll me baby, like you roll a wagon wheel,Want you to roll me baby,,You don't know how it makes me feel,Rock me baby, honey, rock me slow,Yeah, rock me pretty baby, baby rock me slow,Want you to rock me baby,,Till I want no more
,
,
",,
,B.B. King, All Over Again,"I've got a good mind to give up living, and go shopping instead ,I say, I've got a good mind to give up living, and go shopping instead ,To pick up me a tombstone, and be pronounced dead ,When I read your letter this morning, that was in your place in bed ,I read your letter this morning, that was in your place in bed ,That's when I decided, that I would be better off dead ,It read, there is no use you looking, or ever hoping to get me back ,Oh, there's no use you looking, or ever hoping to get me back ,Yes, because it's all over now, and you can bet on that
,
,
",,
