album,singer,song,lyric,written_by,genre
,Son Of Dave, I Got What You Need,"I got a cute little gal in every eastern town from Boston to St Louis,There's some that I don't even know but I'm looking forward to,Cause I like my women everywhere I go,So roll on big wheels don't you roll so slow,Peggy Ann is waitin' in Memphis and Betty Lou in Maine,I got a good ole gal in Knoxville but man I forgot her name,But not her figure I remember that,Yeah I'm a kiss stealin' a wheelin' deelin' a truck drivin' son of a gun,Well there goes Joe flyin' low making up his time,But where I sit I don't believe you'd say I'm wastin' mine,If you think I'm losin' time you're runnin' late,I got a steady little baby waitin' back home for me,But there are six more towns to go till I'm back in Tennessee,And six more women at least I know,Yeah I'm a kiss stealin' wheelin' deelin' a truck drivin' son of a gun
,
,
",,
,Wildbirds & Peacedrums, Fight For Me,"The second war is here,The first one was so sudden,This one is inside,An army made of fear,A useful list,Her body is so sore,Sore...,Her lips parted wide,But there was no sound,Saliva running down them,Her mouth might buy,While at the same time,Her dress fell to the floor,And her feet go underground,Dress fell to the floor,And her feet go underground,Her thoughts went high for me,The police still seek for me,Her thoughts went high for me,But police still seek for me,Her body is so fair,When nerves is double,And the bone is the arrow,Shooting from deep within and further out,Her shape will be shaken,There's nothing to reach for,There's nothing to point at,There's no one to control,And everyone leaves,Her heart will surrender,Her loves kept on giving,Her thoughts won't fight for me,Oh please just finish me,(x3),Fight... Finish.,There's nothing more coming from the deep,Where she stand,When all the world will dream,When they all sleep,No,There's nothing more coming from the deep,Where's she's at,When all the world will dream,When they sleep,No,No,Her thoughts won't fight for me,Oh please just finish me,(x5)
,
,
",,
,Wildbirds & Peacedrums, Tiny Holes In This World,"""I'm so lost,Praying,"" she said.,""I'm afraid to,Lose my head,My thoughts are,Nothing more,Then tiny holes in this world."",So make me,Make me blue,I want to,Die of it with you,So make me,Make me true,I want to lay down with you,Hold me complete,And I'll have nothing to take in song,Dreaming up until one,I can hear the breeze,Singing for me,Are you coming for me?,Oh hold to feel with separate meadows of leaves,To have been inside,You will hear me break,Just to fill up,With these scattered pieces,Hold me complete,And nothing to take turns on,We may not have been too,I can hear the breeze,Singing for me,Are you coming for me?,I hold to feel with separate meadows,And keep,To have been inside...
,
,
",,
,Wildbirds & Peacedrums, Who Ho Ho Ho,"who ho ho I am with you.  I am you morning and ,you are my morning light.  let's wake together.  meet the ,darkness together.  feel the hours expand and lick them ,day.  this is the day we wake up.  wake up to the living ,dead.  let's marry and move town.  to where the grass is ,greener.  we can cut the land open and steal its basis.  ,to keep it secure from the rest.  to hide it from the old ,man.  to hide it from the brown.  to hide it from the talk.  ,let's be reborn in bliss.  wouldn't you want that.  a bliss-,ful morning with me.  I'll heat you some tea.
,
,
",,
,Wildbirds & Peacedrums, My Heart,"my heart slow down.  won't you beat a little slower.  but ,don't stop.  never end the hunting.  the hours catch me.  ,naked and wondering what to do next.  there is so much ,time to kill.  so many holes to fill with anything some-,thing.  don't run.  I'm lost without your rhythm.  don't ,run.  I'm lost without your rhythm.  my heart don't know ,that even the fastest will grow older.  and the clock.  ,will count down the hours the minutes the seconds.  ,the rushing my heart.  look under the bed for all lost ,moments.  but there are none no.  nothing to paste or ,to paint over no more.  don't run.  I'm lost without your ,rhythm.  don't run.  I'm lost without your rhythm.  my ,heart.  believe that there's no reason.  to increase that ,pulse into running horses.  don't make me slip and lose ,that feeling.  of a few seconds.  sweet immortality.
,
,
",,
,Wildbirds & Peacedrums, Liar Lion,"there is a lie out there with its liar.  trying to hide but ,no way.  there is a man who lost his umbrella.  it either ,melted or it rained away.  the way a truth becomes a ,lie.  the way a man will lose his pride.  there is some-,thing ugly and there is something pretty.  but in the end ,he will just lose.  he will lose his shield and honour.  ,he will lose his wife and children cause on one will ,believe him now.  a man with no pride.  a wolf hunting ,a sheep.  the yell from the shepherd is melting in this ,heat.  the way a truth becomes a lie.  the way a man will ,lose his pride.
,
,
",,
,Washboard Sam, I'm Gonna Keep My Hair Parted,"Worried now, won't be worried Long ,Don't believe I'm 'eaving count the days I'm gone,Hair parted in the middle is the only thing I crave,Hair parted in the middle is the only thing I crave,Gonna keep my hair parted, til it take me to my grave,I got a gal lives down by the jail,She got crazy things hangin' up for sale,Hair parted in the middle is the only thing I crave,Hair parted in the middle is the only thing I crave,Gonna keep my hair parted, til it take me to my grave,Goin' up on the mountain look down in the sea,Creatures and the crabs doin' the wee wee wee,Hair parted in the middle is the only thing I crave,Hair parted in the middle is the only thing I crave,Gonna keep my hair parted, til it take me to my grave,Me and my baby we bought a Ford,Now we shift the gears on the running board,Hair parted in the middle is the only thing I crave,Hair parted in the middle is the only thing I crave,Gonna keep my hair parted, til it take me to my grave,Standin' on the corner 25th and Main,I heard a blind man call out your name,Hair parted in the middle is the only thing I crave,Hair parted in the middle is the only thing I crave,Gonna keep my hair parted, til it take me to my grave
,
,
",,
,Wildbirds & Peacedrums, Great Lines,"we follow great lines.  thick layers of repetition.  I've,been repeating myself.  so many times I'm getting worn ,out.  who is that in the mirror.  on the street my face gets ,blurry.  wet of tears and scrubbed from sand.  cause I,fell on the beach in the sun.  I fell and got smashed a ,bit.  that is a good excuse for lying down.  for crying ,out.  out I fell I fell I'm falling down I'm falling down I'm ,falling out the line went out the line ended and so did ,the space that was mine.  how come we follow the great ,lines the biggest thickest lines not choosing our own ,not choosing mine.
,
,
",,
,Washboard Sam, Soap And Water Blues,"Soap And Water Blues  3:05    Trk 18,(Robert Brown) Washboard Sam,Washboard Sam - vocal & washbrd.,J.T. Brown - tenor sax, W. Broonzy - gtr,Roosevelt Sykes - piano, Willie Dixon - bass.,Bluebird RCA (Lester Melrose),Recorded: Studio A, Chicago, IL, Feb 18, 1947,Original issue Victor 20-2240/D7VB0319,Now, I've got a gal,Shaped like a frog,Her voice remind me,Of an old bulldog,Her hair looks just like,A chinchill-ie coat,An man if you get close ,Up to that woman,She smells like a goat,She got b.o.,She keeps b.o all the time,And she thinks soap and water,Woo, Lord, Lord, is a doggone crime,Her ears, is so long,Her nose, is so fat,Her head, is so big,She can't even wear a hat,Her dogs is swolled,An she got one eye,Man, she looks like a wreck,That happened last July,Man, ain't she ugly?,She got b.o. all the time ,Man, that woman thinks soap an water,Man, is a doggone crime,She must-a have been,Her mother's only child,She should-a been a gorilla,'Cause she sho' is wild,She got ways like a monkey,Sly as a fox,She should-a been on some chain gang,Man, breakin' up rocks,Man, ain't she ugly?,An she keeps b.o. all the time ,Man, that woman thinks soap an water,Hoo, Lord, Lord, is a doggone crime,Her legs look like needles,An she ain't got no chin,She's a beautiful woman,For the shape she's in,Her feets look like wings,Way out on a limb,That's just why her mother,Put her off on him!,Man, ain't she ugly?,An she keeps b.o. all the time ,Man, she thinks soap an water,Woo! Lord, Lord, is a doggone crime.,~
,
,
",,
,Washboard Sam, You Can't Have None Of That,"If I catch you with my woman,I'll sting you like a bee ,Don't try to start nothin','Cause that belongs to me,You can't have none a-that,You can't have none a-that ,Just keep your mind off it,You can't have none of that,Yo' eyes may shine,And yo' teeth may grit,But none of this doggone, lovin',Man, will you ever get,You can't have none of that,You can't have none of that ,Just keep your mind off it,You can't have none of that,It took me six long months,To finally get her right,Now, you wanna do the same thing,In just one night,You can't have none of that,You can't have none of that ,Just keep your mind off it,You can't have none of that,'Oh now play it, boy',(sax & instrumental),'Man, you can't have none a-that',If you fool around with my baby,I swear to my heart,I'll take my two bare hands, an,I will tear you apart,You can't have none of that,You can't have none of that ,Just keep your mind off it,You can't have none of that,I don't mind her talkin' to you,Man, nice an sweet,But don't ask for no bread,Neither, try to take no meat,You can't have none a-that,You can't have none of that ,Just keep your mind off it,You can't have none of that.,~
,
,
",,
,Wildbirds & Peacedrums, Peeling Off The Layers,"There in the day come to me,Straight into my arms,I try to hold it,But it just ran through my fingers,The ocean,They come to me,Straight into my arms,I tried to caress it,But it rand right through my fingers,Water will keep running,And rivers will turn,(x3),So how can I ever find,What I'm looking for?,When it's been closer,Stuck at the nights,The wind blows from north to south,But I'm still where I was,Keep taking some shirts off,And taking them off,Peel off the layers,Peel it off,Peel off the layers,Peel it off,Peel off the layers,Peel it off,Peel off the layers,Peel it off,I wish I could find a cure,And to know my disease,But like nothing is heard of,The circle of all of life,And let you carry me to the other side,There is looking just like this,With the sink on the open,Everything is so far,Leaking about,Everything is so far,Leaking about,Everything is so far,Leaking about,Everything is so far,Leaking about
,
,
",,
,Washboard Sam, Flying Crow Blues,"Yas, yas, yas,Flyin' Crow, leave Port Arthur,Come to Shreveport to change her crew,Flyin' Crow leave, Port Arthur,Come to Shreveport to change her crew,She will take water at Texarkana,Yes, boys then keep on through,That Flyin' Crow, whistle,Sounds so lonesome and sad,That Flyin' Crow, whistle,Sounds so lonesome and sad,Lord, it broke my heart,And took the last woman I had,(Texas way!),Two days, I cried,Three days, I walked the streets,(These women!),Two days, I cried,Three days, I walked the streets,I couldn't find nobody,To give my po' heart relief,'Beat it out, boy!',(guitar & instrumental),Yeah, yas, yas,Now, she's gone, she is gone,With a red and green light behind,Now she's gone, she is gone,With a red and green light behind,The red is for trouble,And the green is for my ramblin' mind.,~
,
,
",,
,Washboard Sam, My Feet Jumped Salty,"The hookin' cow,Spoke about the little young heifer,The buckin' bull, says,'I just now left her',Then the cow jumps salty,Now, because it was against her rules,Now, if you think that she liked it,Hoo-well, you just a black-eyed fool,The little *Guinea rooster,Told the little Guinea hen,If I ever catch you squattin',Around my nest again,I will have to jump salty,Lord, 'cause it went against my rules ,Now, if you think that he liked it,Hoo-well, you just a black-eyed fool,'Beat it out, boys',(instrumentals & guitar),'He another black-eyed fool - hahaha','My, my, my',Now, two old womens,Are runnin' hand in hand,The one found out,The other one had her man,Then that woman jumped salty,Lord, 'cause it was against her rules,Now, if you think that she liked it,Hoo-well, you just a black-eyed fool,I was chattin' with a girl,In the wrong place,A man cocked a pistol,Right in my face,Then my feets jumped salty,Now, 'cause it was against his rules,Now, if you think that I liked it,Hoo-well, you just a black-eyed fool.,~,*Guinea Hens, originated in Africa and aren't chickens.,They are Guinea Fowl, some are white, some are dark,some have flecks like polka-dots.
,
,
",,
,Washboard Sam, I Just Can't Help It,"I woke up this mo'nin,Feelin' bad,Thinkin' about the good times,I once have had,Lord, I just can't help it,Lord, I just can't help it,Lord, I just can't help it,Man, just sho' as you born,Now, there ain't but one thing,Grievin' my mind,All of these womens,An ain't none of 'em mine ,Lord, I just can't help it,Lord, I just can't help it,Lord, I just can't help it,Man, just sho' as you born,(sax & instrumental),Yas, yas,I hittin' my woman,With a single tree,You might-a heard her holl'in ,'Daddy, don't murder me',Lord, I just couldn't help it,Lord, I just couldn't help it,Lord, I just couldn't help it,Man, just as sho' as you born,Now, my mama told me,Papa told me, too,'These girls you lovin',Gon' be the death of you',Lord, I just couldn't help it,Lord, I just couldn't help it,Lord, I just couldn't help it,Man, just as sho' as you born,(piano & instrumental),'Let's help it now, boy','Yas, yas',I went home last night,Fell down 'cross my bed,I was in such a fix,Ev'rybody thought I was dead,Lord, I just couldn't help it,Lord, I just couldn't help it,Lord, I just couldn't help it,Man, just as sho' as you born.,~
,
,
",,
,Washboard Sam, I'm Gonna Keep My Hair Parted,"Worried now, won't be worried Long ,Don't believe I'm 'eaving count the days I'm gone,Hair parted in the middle is the only thing I crave,Hair parted in the middle is the only thing I crave,Gonna keep my hair parted, til it take me to my grave,I got a gal lives down by the jail,She got crazy things hangin' up for sale,Hair parted in the middle is the only thing I crave,Hair parted in the middle is the only thing I crave,Gonna keep my hair parted, til it take me to my grave,Goin' up on the mountain look down in the sea,Creatures and the crabs doin' the wee wee wee,Hair parted in the middle is the only thing I crave,Hair parted in the middle is the only thing I crave,Gonna keep my hair parted, til it take me to my grave,Me and my baby we bought a Ford,Now we shift the gears on the running board,Hair parted in the middle is the only thing I crave,Hair parted in the middle is the only thing I crave,Gonna keep my hair parted, til it take me to my grave,Standin' on the corner 25th and Main,I heard a blind man call out your name,Hair parted in the middle is the only thing I crave,Hair parted in the middle is the only thing I crave,Gonna keep my hair parted, til it take me to my grave
,
,
",,
,Washboard Sam, Bucket's Got A Hole In It,"Bucket's Got A Hole In It   2:46   Trk 18,(Robert Brown),Washboard Sam (Robert Brown),vocal & washboard, Punch Miller - trumpet,Bill Broonzy - guitar, Black Bob - piano, unk bass.,Recorded: June 16, 1938.,Original issue Bluebird 7906/BS-020808-1.,Album Vol. 3 'That's Chicago's Southside',BMG Music  63988-2,<to the tune of 'Midnight Special'>,Oh, my bucket got a hole in it,Oh, my bucket got a hole in it,Oh, my bucket got a hole in it,Can't buy no beer,When you're walkin' down 31st Street,You had better look around,Police firin' squad is on their beat,An you'll be jailhouse bound,(trumpet)  'Play it!',They ain't-a standin' on the corner,Ev'rything was so slow,Can't make no money,Tricks ain't walkin' no mo',(piano) 'Oh, play it, boy',Gonna start a new racket,Gonna start it out right,Gonna sell moonshine in the day,An peddle dope at night,Then if I can't make no money,Goin' a catch the Santa Fe,Goin'a drink good liquor,And let all women be.,(trumpet & all to end)  'Pla-ay!',~
,
,
",,
,Washboard Sam, I Get The Blues At Bedtime,"I get the blues at bedtime,Them things don't leave until day,Hey-hey-hey, mama,I get the blues at bedtime,And them things don't leave until day,An if I just had you in my arms,Them blues would blow away,Now, if you love me baby,Try to keep me satisfied,Hey-hey, mama,If you love me, baby,Try to keep me satisfied,And will you low down your chariot,And let yo' po' daddy, ride?,'Let's ride some, boy',(instrumental & guitar),Now, if I could go back to China,And start my life brand new,Hey-hey-hey, mama,If I could go back to China,And start my life brand new,I would tell the whole world,Jes' what I would do,I wouldn't-a started drinkin', gamblin',I wouldn't run around,Hey-hey-hey, mama,I wouldn't-a started drinkin', gamblin',Lord, I wouldn't run around,I think I would get married,Baby, and I would settle down.,~
,
,
",,
,Washboard Sam, Down South Woman Blues,"I woke up this mo'nin,With my down south woman,On my mind ,I woke up this mo'nin,With my down south woman,On my mind ,Yes, some some of these mo'nins,Hoo, Lord, I'm gonna find ,That woman a-mine,I'm gonna walk Highway 51,'Till I find Highway 49,I'm gonna walk Highway 51,'Till I find Highway 49,I've got a ninety pound, woman,Hoo, Lord, would ease my worried mind,'Beat it out, beat it out',(instrumental & piano),Now, get hip to what I tell you,Babe, an don't be nobody's fool,Now, get hip to what I tell you,Babe, an don't be nobody's fool,And when I walk back into town,Hoo, Lord, I won't be so easily ruled,I may be a long time comin',But baby, please let me in,I may be a long time comin',Baby, please let me in,And you tell yo' best man,Hoo, Lord, I'm back in town, again.,~
,
,
",,
,Washboard Sam, Bucket's Got A Hole In It,"Bucket's Got A Hole In It   2:46   Trk 18,(Robert Brown),Washboard Sam (Robert Brown),vocal & washboard, Punch Miller - trumpet,Bill Broonzy - guitar, Black Bob - piano, unk bass.,Recorded: June 16, 1938.,Original issue Bluebird 7906/BS-020808-1.,Album Vol. 3 'That's Chicago's Southside',BMG Music  63988-2,<to the tune of 'Midnight Special'>,Oh, my bucket got a hole in it,Oh, my bucket got a hole in it,Oh, my bucket got a hole in it,Can't buy no beer,When you're walkin' down 31st Street,You had better look around,Police firin' squad is on their beat,An you'll be jailhouse bound,(trumpet)  'Play it!',They ain't-a standin' on the corner,Ev'rything was so slow,Can't make no money,Tricks ain't walkin' no mo',(piano) 'Oh, play it, boy',Gonna start a new racket,Gonna start it out right,Gonna sell moonshine in the day,An peddle dope at night,Then if I can't make no money,Goin' a catch the Santa Fe,Goin'a drink good liquor,And let all women be.,(trumpet & all to end)  'Pla-ay!',~
,
,
",,
,Wildbirds & Peacedrums, Today-Tomorrow,"I have today I have tomorrow.  I don't know love I don't ,know sorrow.  How could this sentence be.  how is a soft ,could me.  and once again I'm back to square low.  ,I have one day I have one night to make this upside life ,turned right.  the lower down I go.  the more I want to ,go up.  and once again I'm back to square low.  heaven ,heaven.  is falling down on me.
,
,
",,
,Washboard Sam, How Can You Love Me,"Now oh mama, how I love you,An you said you loved me, too,Now oh mama, how I love you,An you said you loved me, too,But I don't see how you can love me,Lord, an treat me like you do,You said you are mine,My-oh-my!,When you know you was leavin',Gal, all the time,You can't be mine,And someone else's, too,Now how can you love me,Hoo, and treat me like you do?,I treat you nice and kind,Mama, in ev'ryway,You leave early in the ev'nin',And don't come back,'Till the break of day,I don't care what you do,Gal, you know I still love you,But how can you love me,And treat me like you do?,'Play it for me, boy',(instrumental & guitar),You didn't want me,Whilst I was nice and kind,But someday you gon' want me,An I'll be done change my mind,I'm 'ona find someone else,Mama, to tell my troubles to,How can you love me,Hoo, and treat me like you do?,~
,
,
",,
,Washboard Sam, Good Old Cabbage Greens,"(instrumental & sax),I'm goin' back south,In New Orleans,Get myself some a-them,Cabbage greens,Ooh, them greens,Yes, them greens,Oh, them greens,They call them, cabbage greens,I like my cabbage,Like a horse likes grass,'Cause they,Is right in my class,Ooh, them greens,Yes, them greens,Oh, them greens,They call them, cabbage greens,'Beat it out, boy',(instrumental & sax),'I love my cabbage',Give me cabbage,For my dinner,Cabbage, for my desert,Oh, when I don't get my cabbage,Boy, how it hurt!,Ooh, them greens,Yes, them greens,Oh, them greens,They call them, cabbage greens,(sax & instrumental),My wife woke up at night,Hurts me in the side,Says, 'Get up here, daddy,I've got yo' cabbage, fried',Ooh, them greens,Yes, them greens,Oh, them greens,They call them, cabbage greens,When you give me greens,An don't give me no meat,Woman, you know that's one thing,Knock me off my feet,Ooh, them greens,Yes, them greens,Oh, them greens,They call them, cabbage greens,(instrumental to end),~
,
,
",,
,Washboard Sam, Do That Shake Dance,"Spoken:,'Yas, yas, ev'rybody,It's time to shake!,Look at that little gal out there,Doin' that shake dance.,Well, alright then.,That's what I'm talkin' about.,Well, alright,Sung:,Talkin' about shakin,On yo' hands and knees,Do that shake dance, as you please,Do the shake dance, mama,Do that shake dance, mama,Do that shake dance, mama,Do it as you please,I've got a woman,She's long an tall,Sleeps in the kitchen,With her feets in the hall,Do the shake dance, mama,Do that shake dance, mama,Do that shake dance, mama,Do it as you please,'Now, shake it for me',(instrumental & sax),Do that shake, mama,Just as you please,Do that shake,I mean, shake yo' knees!,Do the shake dance, mama,Do that shake dance, mama,Do that shake dance, mama,Do it as you please,Raise yo' hands high,Back against the wall,With the way you shake, mama,They are sho' bound to fall,Do the shake dance, mama,Do that shake dance, mama,Do that shake dance, mama,Do it as you please,'Play it, boy, play it',(instrumental & piano),'Shake it for me now',(instrumental & sax),'Shake it, shake it','Play it a long time',(instrumental w/piano to end),'Play it a long time'.,~
,
,
",,
,Washboard Sam, River Hip Mama,"I've got a woman,Streamline from her feet,To her head,I've got a woman,Streamline from her feet,To her head,If she should ever quit me,She might as well's be dead,Ev'rytime that woman smiles,She shows the diamonds in her teeth,Ev'rytime that woman smiles,She shows the diamonds in her teeth,She wears fine clothes,And patent leather shoes on her feet,Men's all crazy 'bout her ,She make them whine and cry,Men's all crazy 'bout her ,She make them whine and cry,She's a river hip, mama,And the all wanna be Baptised,'Blow it, boy',(sax & instrumental),'I'd wanna be Baptised, too',Now, listen people,The half ain't been told,Now, listen people,The half ain't been told,She can wup it to a jelly,I mean, a good jellyroll.,~
,
,
",,
,Washboard Sam, Ain't That A Shame,"I was sittin' here thinkin',My mind way, away,I had a good home,But my woman run me away,Ain't that a shame?,Yes, ain't that a shame?,Woman, you gon' ,Need my help someday,I used to give my woman money,Deposit fives and tens,Now, them good times are gone, babe,They'll never happen. again,Now, ain't that a shame?,Lord, ain't that a shame?,Woman, you gon' ,Need my help someday,'Play it once, play it once',(instrumental & guitar),Yas, yas,Now, I don't mistreat nobody,'Cause you got a few dimes,You are up today, rider,But you won't be up all the time,Ain't that a shame?,Lord, ain't that a shame?,Woman, you gon' ,Need my help someday,Lordy, Lordy,Now, Lordy, Lord,I used to be yo' reg'lar,But now I gotten to be yo' dog,Now, ain't that a shame?,Lord, ain't that a shame?,Woman, you gon,Need my help someday ,Now when I was in jail,You was far away,But when you got the news,You said, 'Let old Washboard, stay',Now, ain't that a shame?,Lord, ain't that a shame?,Woman, you gon,Need my help someday.,~
,
,
",,
,Washboard Sam, Rockin' My Blues Away,"(instrumental & saxophone),Rockin',Rockin' myself to sleep,Just rockin',Rockin' myself to sleep,I'm watchin' my baby,Make that midnight creep,Rockin',Rockin' my worries, away,Just rockin',Rockin' my worries, away,What worry me now,Worry me, ev'ryday,(instrumental & sax),'Oh, worry me, boy',Rockin',Rockin' on down the road,Just rockin',Rockin' on down the road,I'm rockin' in places,I never rocked, befo' ,(instrumental & sax),'Play it, boy','Now, rock me some' ,'Rock me now, rock me, boy',Rockin',Rockin' my blues away,Just rockin',Rockin' my blues away,I'm gonna rock right here,'Till the break of day,'Beat it out!',(instrumental to end - all),~
,
,
",,
,Washboard Sam, Evil Blues,"Yes, yes,Worst feelin' I ever had,Yes, yes,Worst feelin' I ever had,These old evil blues,Have treated me awful bad,I had the blues all night,I'll be glad when mornin' comes,I had the blues all night,I'll be glad when the mornin' comes,I'm gonna have a talk with some gypsy,See what evil I have done,'Play it one time, boy',(guitar & instrumental),These old evil blues,Have been followin' me all this week,These old evil blues,Have been followin' me all this week,I can't rest at midnight,Day I just can't sleep,'Take it boy, take it',(piano & instrumental),Down in old Death Valley,Tombstones and old dry bones,Down in old Death Valley,Tombstones and old dry bones,These old evil blues keep followin' me,Death Valley gonna be my home.,~
,
,
",,
